Unnamed: 0,estimated-concreteness,word
0,2.24211776912,.
1,2.36740043629,die
2,2.04317695366,</s>
3,2.33888918129,","
4,2.62117427071,'
5,2.31260086009,van
6,2.40939587767,-
7,2.29339080598,en
8,2.22166817151,in
9,2.5030630023,n
10,2.33597129436,is
11,2.08342347503,het
12,2.57774368559,)
13,2.58363298552,(
14,2.20591158188,wat
15,1.55630918611,/
16,2.35674351764,op
17,2.38553600851,word
18,2.46264827933,met
19,2.02500026438,as
20,2.400716832,sy
21,2.18738070749,te
22,2.21693710331,was
23,2.09318929925,vir
24,1.80870168351,nie
25,2.31747942046,dit
26,2.17963727629,om
27,2.5090702823,hy
28,2.20319324486,se
29,2.16047052496,deur
30,2.29268937901,–
31,2.41439037541,of
32,2.38996266559,aan
33,2.22924077858,ook
34,2.08335821254,tot
35,2.11624448687,na
36,1.79489139654,dat
37,2.21516764273,hulle
38,2.56978212906,suid
39,2.30507034225,by
40,2.33666795905,de
41,2.27800773826,uit
42,2.34392585943,jaar
43,2.43473731645,the
44,2.34658016974,eerste
45,2.35128534468,daar
46,1.89399509526,maar
47,2.15421010243,kan
48,1.92703798407,hierdie
49,2.28189019532,ander
50,2.14169159655,soos
51,2.54145711042,}
52,2.66525506947,afrika
53,2.41359999613,oor
54,2.35780649543,een
55,2.41024774389,gebruik
56,2.63484677242,afrikaanse
57,2.36429625858,s
58,2.29001017226,groot
59,2.32937894521,meer
60,2.44500479764,onder
61,2.30431791502,a
62,2.44692992358,twee
63,2.59804589875,kerk
64,1.26285429927,/////
65,3.4222248612,duimnael
66,2.14059833413,toe
67,2.05076240963,tussen
68,2.50810214987,gemeente
69,2.74299438984,c
70,2.36877486916,teen
71,1.96140006291,baie
72,2.13205316836,begin
73,2.65786550228,""""
74,2.10133397429,hul
75,2.81353894631,lys
76,2.30676766542,m
77,1.21164571174,/en/
78,3.11795090895,lêer
79,2.6362020955,ds
80,2.11796028767,waar
81,2.0785592067,dié
82,1.32868935793,//
83,2.26133947061,eeu
84,2.95063780531,haar
85,2.4487878616,volgens
86,1.88888419778,eksterne
87,2.07864479308,bekend
88,2.50232299664,sien
89,2.20301151287,nuwe
90,2.17760894057,#aanstuur
91,2.56347837055,leë
92,2.5192031878,hom
93,2.38224553184,j
94,2.36208714623,voor
95,2.30312897115,oppervlak_leeg
96,2.84050146772,stad
97,1.32243306886,xh/
98,2.76687164676,land
99,1.66840051831,///
100,2.98184715583,skakels
101,2.10597316485,later
102,2.03769575569,nog
103,2.16830925603,al
104,2.12734136586,net
105,2.45290613187,p
106,2.04866928777,l
107,2.61509990576,tydens
108,1.62834348751,sou
109,2.55064029786,#
110,2.60292023322,naam
111,1.81605527928,so
112,2.41417491134,!
113,2.36983494318,v
114,2.48399954867,deel
115,2.52909370144,tweede
116,2.38506481093,drie
117,2.2080908957,ná
118,1.73226902129,egter
119,2.3994820008,and
120,2.06895618309,grootste
121,2.78315850836,pous
122,1.94721808711,sal
123,2.28626395439,ste
124,2.41627542179,gehad
125,1.77596968299,kon
126,2.33713312373,ons
127,2.40654070851,ek
128,2.63016386564,mense
129,2.38226630753,bestaan
130,2.99007893957,svg
131,2.46505185307,nasionale
132,3.44878490774,links
133,2.50134770818,maak
134,2.70970124342,kom
135,2.54002094788,noord
136,1.63808882159,_titel
137,3.3050299703,jpg
138,2.37859317886,sowat
139,2.68883335568,gebied
140,1.68093527675,_km
141,2.45206893611,bevolkingsdigtheid_leeg
142,1.82201959646,_myl
143,2.28625873778,vanaf
144,2.20745132279,laat
145,2.44090124505,%
146,2.41534972764,saam
147,2.34189623048,style
148,2.31896550087,terwyl
149,1.93759507429,veral
150,1.96257544958,moet
151,1.97023287993,wees
152,1.88010890799,weer
153,2.48191718146,werk
154,2.49535705327,klein
155,2.14564052463,i
156,2.31433176995,oos
157,2.37922686075,hier
158,2.2644957087,tyd
159,2.20040762973,ng
160,2.01509617071,geword
161,3.73464551237,vlag
162,2.20566619971,verskeie
163,2.38103906653,d
164,2.57182359508,verenigde
165,3.11875730458,artikel
166,2.09841429065,mei
167,2.36927457961,wes
168,2.51326293634,vorm
169,1.27844207635,zu/
170,2.25160208802,duitse
171,2.38357684652,staan
172,2.76489479396,}}
173,2.31039788954,gereformeerde
174,1.95446664589,isbn
175,1.96231935469,genoem
176,2.36883021775,af
177,2.44130856256,dan
178,2.18210980896,keer
179,2.7751244582,bevolking
180,2.55068821793,gemaak
181,2.99973384365,gebou
182,2.22672553857,b
183,2.21710365446,jare
184,2.54026505767,januarie
185,2.12292030712,geen
186,2.75870325768,align
187,2.3567172876,junie
188,2.37623512045,britse
189,2.38014155155,amerikaanse
190,1.85791547751,slegs
191,2.14185950371,nadat
192,2.8751866218,dorp
193,2.42679984508,april
194,2.45167112086,lank
195,2.32642684538,gestig
196,2.65727985347,oktober
197,2.4162626011,julie
198,1.88384394362,sedert
199,3.02316312488,_inligting
200,3.24277384945,_naam
201,1.95583141188,reeds
202,2.13795549876,to
203,2.40651273736,?
204,2.05926872045,•
