Unnamed: 0,estimated-concreteness,word
0,2.91575648443,</s>
1,3.49622108502,'
2,3.39958462292,.
3,3.3308538012,","
4,3.34334961035,yn
5,3.1706784809,y
6,3.41557138306,a
7,3.24966312509,-
8,3.50465552207,r
9,3.41026063348,o
10,3.33314943966,)
11,3.42732142413,(
12,3.24202794724,i
13,3.42247019726,ar
14,3.65148474783,yr
15,3.22466945549,mae
16,3.30610468979,n
17,3.5399664338,ei
18,3.15792057321,gan
19,3.27385565405,ac
20,3.18269461171,yw
21,2.39190275834,}
22,3.11928006064,the
23,3.49246420068,hefyd
24,3.23836953097,wedi
25,3.52355753978,rhestr
26,3.19302826853,sy
27,3.88249357922,fel
28,3.34508117388,gweler
29,2.56081571159,cymru
30,3.35718190244,neu
31,3.00803720776,au
32,3.25383597196,am
33,2.94817924787,roedd
34,2.96277264537,of
35,3.45896782704,oedd
36,3.54141055606,lloegr
37,3.11841929825,yng
38,3.11983357324,mewn
39,3.07902713269,ym
40,2.57869529433,and
41,3.1924232063,enw
42,3.24635194549,un
43,3.18851874096,eu
44,3.1540063044,gyda
45,3.14477913716,cymraeg
46,3.40453182895,allanol
47,3.29473421774,ôl
48,3.35327956121,ydy
49,2.7721112004,}}
50,3.08470797453,ond
51,3.4017301848,llyfrau
52,3.60618927083,eraill
53,2.98433381347,de
54,3.19231428762,–
55,3.56617728711,fod
56,3.17656766336,ganrif
57,3.20863955602,enwau
58,3.43661236105,cynnwys
59,3.0339797728,â
60,3.35302896272,sydd
61,3.95324355774,cc
62,2.92472072252,british
63,2.67963206331,pentref
64,3.91008049688,cyfeirio
65,3.24190344227,rhwng
66,3.50253241549,alban
67,2.67112377555,gwefan
68,2.73964636405,dros
69,3.36853930842,hyn
70,3.4614527441,cael
71,3.88198029078,#ail
72,3.22365492663,at
73,2.35038673679,to
74,2.91605037112,ceir
75,3.3564320255,fe
76,2.94864721111,saesneg
77,2.92530691653,dolen
78,2.47561931556,in
79,3.31589533696,lle
80,3.65060839686,deyrnas
81,2.89896215023,tua
82,3.11453743122,hwn
83,3.13196312059,er
84,3.3020501478,unedig
85,2.93989068154,rhan
86,2.88285484959,neidr
87,3.47543269341,bu
88,3.81663158549,w
89,2.23306746048,?
90,2.80969465818,sir
91,3.05165341012,gwales
92,2.75228497735,s
93,2.02438230641,gyfrol
94,2.65785674593,swydd
95,3.57827031107,hyd
96,2.97509953071,afon
97,2.8860378741,bod
98,3.14042049804,cymdeithas
99,3.10824886437,copa
100,3.11596170805,is
101,3.08309596879,natur
102,3.31529134753,dinasoedd
103,1.81570945446,%
104,2.67616789922,hynny
105,2.991277257,gogledd
106,3.15799699507,drefi
107,3.27772695073,newydd
108,3.80420288683,llefydd
109,2.99103503323,john
110,2.85754249304,wefan
111,3.43229420359,edward
112,3.07247351427,m
113,3.12575947806,#
114,3.41194642714,cafodd
115,3.38398004272,gyfer
116,3.13386850832,e
117,2.63855992311,jones
118,2.91424981021,u
119,3.66748959173,byd
120,2.99601015394,nifer
121,2.78915215512,for
122,3.84989282044,cyntaf
123,3.35909149638,llawer
124,2.34808075787,""""
125,3.47129533113,safle
126,3.67870432575,pan
127,2.37901574741,network
128,3.16993757474,llên
129,3.1029437481,mai
130,2.88702591058,ardal
131,2.3130993098,towns
132,3.27463034148,}}}
133,2.82140684612,villages
134,2.966388125,iaith
135,1.89263332383,isbn
136,3.06080469957,!
137,3.05052522528,c
138,2.50391097419,rhestri
139,3.10102413393,llwyd
140,2.8457876869,urdd
141,3.28068652768,byw
142,3.2492757119,erbyn
143,3.47442745597,fed
144,3.28825687071,oes
145,3.5151805726,na
146,3.76768020056,dan
147,2.33584526657,gwasg
148,2.65717926126,chymuned
149,2.52888492919,uchder
150,3.74485149605,arbennig
151,2.59954619556,en
152,3.47534433452,rhai
153,3.77784092879,brenin
154,3.29716390751,elwir
155,3.09766814556,cyn
156,2.98823920377,cadw
157,3.75235129169,ail
158,1.92357492809,ysgol
159,3.46512708222,sawl
160,2.70504602425,cenedlaethol
161,2.89746255921,wikipedia
162,3.12950563092,eglwys
163,3.11628956801,km
164,3.55969956906,wrth
165,3.62274879572,geiriadur
166,3.55703729735,ynys
167,3.24285020815,hen
168,3.3260328814,teulu
169,3.52107496791,roi
170,2.58943482034,//www
171,2.66127572198,jpg
172,3.76461753678,yma
