Unnamed: 0,estimated-concreteness,word
0,2.37500749653,.
1,2.13727360001,</s>
2,2.24476321168,","
3,2.20732800231,og
4,2.30595216212,í
5,2.20426323956,#
6,2.02713963472,að
7,2.57858786363,)
8,2.65368443538,(
9,2.18554911563,á
10,2.33611171245,-
11,3.30022824809,at
12,3.28857101716,frompos
13,3.16786029345,tillpos
14,2.62673745899,'
15,2.26866981664,er
16,2.05455344723,sem
17,2.71340787952,%
18,2.35141833662,var
19,2.46030635064,til
20,1.94184369182,en
21,2.70353047194,text
22,2.0027382159,um
23,2.1111138299,við
24,2.32526972629,af
25,2.65879756542,hann
26,2.39469592363,með
27,1.9125905249,fyrir
28,2.32671314523,eru
29,2.22533723318,það
30,2.20402906459,frá
31,2.10060479021,þar
32,2.14755743142,árið
33,2.43438873828,fyrsta
34,2.78807269477,bar
35,1.71250636469,ekki
36,2.94717462311,s
37,4.06357927382,fontsize
38,4.31649557265,pos
39,4.25505840907,textcolor
40,1.81694279796,því
41,1.82058385492,eftir
42,2.46560550491,eða
43,2.21737093239,voru
44,2.22487561761,þá
45,2.46570604703,hún
46,1.91766466862,hefur
47,2.13368716799,""""
48,2.61883037039,seinna
49,2.04995463565,verið
50,2.58057795513,the
51,3.08073341243,black
52,3.28848185142,id
53,3.73965881126,value
54,3.58765206244,canvas
55,1.76396283974,hafa
56,2.11489157128,þegar
57,1.70058350131,þess
58,2.62462904346,úr
59,2.51159738585,út
60,2.05120466242,hans
61,2.68015876012,–
62,2.3433895419,einnig
63,2.37383780944,upp
64,2.89176482067,color
65,2.44788904984,f
66,2.40454319574,þeir
67,2.26328758918,fram
68,1.68725505417,#tilvísun
69,2.04021467516,yfir
70,1.77910313492,varð
71,2.28586520152,ár
72,1.88505741642,sér
73,2.12090271022,svo
74,3.96059787504,rgb
75,2.40343655488,of
76,2.5302849858,m
77,2.57267013643,íslandi
78,2.66654914223,d
79,1.90360437664,þeirra
80,2.33420930189,a
81,2.10650289325,þetta
82,1.62063099649,þó
83,2.18226715573,eins
84,2.20273966953,þeim
85,1.85993495655,hafði
86,1.84259337492,undir
87,2.57483575545,kom
88,2.21842961073,þau
89,2.38192454655,sig
90,2.23016866903,}
91,1.74933256814,hafi
92,2.86867282271,nafn
93,2.64173946759,íslands
94,2.79059274944,from
95,2.16605611521,seinni
96,1.70879897614,vera
97,2.38036190741,milli
98,2.32289222107,meðal
99,2.34769541569,ég
100,1.75036060925,vegna
101,2.66478633894,top
102,2.33542198766,síðan
103,1.75313306215,áður
104,1.85437167397,sé
105,2.38960370066,right
106,2.73458470477,till
107,2.97417698348,width
108,2.41371937031,tók
109,2.35490667693,nöfn
110,2.43254244514,left
111,2.46043602958,unit
112,2.0555118863,e
113,2.00440161135,ef
114,2.74787979589,white
115,3.11253571147,efni
116,3.22099011125,height
117,2.62033411804,bottom
118,2.87921670787,hlutfall
119,2.43527447402,honum
120,3.238448433,start
121,2.67296509713,year
122,1.79151302001,aftur
123,2.90220103902,utc
124,1.88488568709,allt
125,2.21496812761,hjá
126,2.6383993258,þær
127,2.9204422494,period
128,3.21800134855,increment
129,3.10957085702,and
130,2.8805618792,late
131,2.87159603269,yyyy
132,3.62681080089,timeaxis
133,3.5868117734,orientation
134,3.1665166479,scalemajor
135,3.84465279733,imagesize
136,2.97708318508,plotarea
137,3.6135803314,dateformat
138,2.58592964002,alignbars
139,3.67345134446,horizontal
140,2.51118597938,grein
141,2.97431829542,backgroundcolors
142,2.5887691446,getur
143,2.97792235722,nafngifta
144,2.33920337323,ára
145,1.95350099595,mjög
146,2.94489450187,reykjavík
147,2.21324924931,síðar
148,2.13704806618,öld
149,2.35275052942,má
150,2.27208215072,hennar
151,2.06743362974,?
152,2.00775294276,nú
153,2.2847317099,saman
154,1.97149708574,tíma
155,2.28894942041,inn
156,2.10247225933,oft
157,2.03294920232,sínum
158,2.38013085533,maí
159,2.1098800385,fór
160,2.2999215756,janúar
161,2.507043406,júní
162,2.21834102407,annars
163,2.01688755351,t
164,3.01723590423,einn
165,2.51937301161,þann
166,2.59011031234,mars
167,2.50471433376,júlí
168,2.01879580997,aðeins
169,1.86145408812,fyrst
170,2.19243745703,væri
171,1.80969679103,fyrstu
172,2.50293799876,—
173,2.6256267285,apríl
174,2.39928371099,sinn
175,3.43087230997,mynd
176,2.84950356977,jón
177,2.04639490431,sama
178,2.15361712813,þessi
179,2.02106762504,gegn
180,2.11838946501,ágúst
181,2.45757877375,hægt
182,1.94435789696,eitt
183,1.84764750817,fékk
184,1.8622243058,þannig
185,2.53789856226,íslenskt
186,2.15192147452,ásamt
187,2.3784187079,október
188,3.12817350021,hluti
189,2.16995131408,september
190,1.9480830578,sína
191,2.13283089389,kr
192,3.47217631264,lag
193,2.76037075612,/
194,1.80144484427,desember
195,4.32785878649,jpg
196,2.04495287173,enn
197,3.20206585524,in
198,2.40642702372,bæði
199,2.20182981756,mikið
200,2.15639489761,henni
201,3.01664876059,kl
202,2.00569745347,nóvember
203,2.05001889924,geta
204,1.63089561567,sinni
205,2.65026385439,fjöldi
206,1.96028330827,öðrum
207,2.52860701439,febrúar
208,1.98736375564,hins
209,2.53972213049,koma
210,2.22472317322,stað
211,2.71567500004,i
212,2.51011239399,niður
213,2.79214703381,kemur
214,2.06462944159,átti
215,2.36269747747,líka
216,2.5532239213,sjá
217,1.78733505218,þessum
218,2.79003799858,to
219,2.80733015233,hluta
220,2.45161797164,dag
221,3.35329357036,texti
222,2.48748623865,b
223,2.65718311567,is
224,2.6994772415,de
225,2.23486868829,norður
226,2.23698676143,heldur
227,2.54484999269,notað
228,2.31636890262,höfðu
229,2.53841028549,hana
230,2.08481279981,komið
231,2.75007043055,sá
232,1.79341687613,orðið
233,2.29418510022,evrópu
234,2.40133100789,innan
235,1.90906744965,auk
236,2.2483305283,tengt
237,1.91883957856,sú
238,1.9272197181,verður
239,2.08731415969,hér
240,2.22873085305,gera
241,2.46450515053,íslensku
242,1.49923935444,árum
243,2.50011757952,segir
244,1.92454647004,vel
245,2.68173082951,suður
246,1.82335869235,vegar
247,2.02394217779,önnur
248,2.04265456643,sitt
249,2.09036185027,sögu
250,2.48275190096,stjórn
251,2.97090710551,kvenmannsnafnið
252,2.27315673963,taka
253,1.90169163776,samkvæmt
254,2.15143902725,!
255,2.81493603944,menn
256,2.96988600736,dreifing
257,2.4091223924,annað
258,2.56926194546,nota
259,1.86904665047,fyrr
260,2.84182428319,heildarfjöldi
261,2.70782975795,ein
262,2.38360869,átt
263,2.12349647248,aldar
264,2.27216115771,new
265,2.53242490888,}}
266,1.7414110715,þessu
267,2.05996137838,stundum
268,3.00728873548,konungur
269,3.2367634633,karlmannsnafnið
270,2.47713297598,landsins
271,3.47580277203,íslenskur
272,1.88316526197,enda
273,2.45622861269,finna
274,1.61686649609,urðu
275,2.46824810632,þátt
276,3.3570286017,bandarískur
277,2.13159322643,fara
278,2.93733457243,sæti
279,1.71218102348,hvort
280,2.01045172648,fleiri
281,2.17049771553,dæmis
282,2.48472588631,manns
283,2.48217625628,íslenska
284,2.4331155368,saga
285,2.51252502065,dæmi
286,1.59846551567,áhrif
287,2.02424418357,talið
288,2.44086003707,bandaríkjunum
289,1.97530116027,þ
290,3.01279893491,jónsson
291,2.86832485511,tb
292,3.91917231055,leikari
293,2.06762002398,hélt
294,1.6762792469,hvað
295,3.49012629919,sonur
296,2.98740359595,style
297,2.18081682358,stofnað
298,1.95869587878,fyrri
299,2.03584279243,segja
300,2.14029645129,áfram
301,2.46566891531,öllum
302,3.25823092319,land
303,2.38370840276,c
304,1.43631386675,mun
305,2.61460366087,notuð
306,2.07861634102,öll
307,2.34389385255,nær
308,2.46251512281,ársins
309,1.99601009369,gerði
310,2.63390732176,john
311,2.25458822362,komu
312,3.20647437705,bjó
313,2.48639159739,oftast
314,2.08770029299,gaf
315,3.01757838721,for
316,2.36461582943,fyrsti
317,2.00625141706,tekið
318,2.10408101427,tvö
319,2.32395924562,fá
320,1.48153291355,eiga
321,2.38284786906,lauk
322,2.57653734029,km
323,2.03438501565,fer
324,2.65999290005,lög
325,2.1062925028,halda
326,2.83278659433,##
327,3.56457861456,fæddur
328,2.19517114778,meðan
329,2.03688853353,utan
330,2.35991652158,gert
331,3.23170615842,fólk
332,1.5282406449,meira
333,3.21844841916,borgin
334,2.82249837235,deild
335,3.24491295381,fædd
336,2.21635526599,hófst
337,2.86123616531,þú
338,1.52510907293,verða
339,2.11803269532,tveimur
340,2.34548606173,nýja
341,2.12683762238,align
342,2.61498973739,leið
343,2.70377101642,manna
344,3.433160271,maður
345,2.54485684307,án
346,2.01757722788,sagði
347,2.78025296083,gerð
348,2.61910826828,hátt
349,2.67929428765,stærsta
350,1.99882779022,vann
351,3.11043705591,borg
352,2.22169064607,fimm
353,2.88487878622,x
354,1.97465923855,árinu
355,2.77361443305,ísland
356,2.26568904762,hinn
357,1.80910117533,hóf
358,2.9262496132,stendur
359,2.11979197919,sín
360,2.68665073557,lið
361,3.09499333542,london
362,2.55505948076,margir
363,2.20797971225,sett
364,1.81987432313,gegnum
365,3.1813612654,forseti
366,2.23893249678,eina
367,2.17284548119,helstu
368,2.22378767893,fóru
369,2.65116932609,tvær
370,3.39429661166,snið
371,1.68397518049,allir
372,1.55059819672,rétt
373,2.3270015914,o
374,2.20301887714,gekk
375,2.09869584749,alla
376,2.4112900289,york
377,2.71495168077,stóð
378,1.37559843924,náði
379,1.74758883167,hvernig
380,2.5654237496,búa
381,1.55452678413,ekkert
382,3.0346973215,börn
383,2.34632241791,þessa
384,2.23171708186,vestur
385,2.42966036201,enska
386,2.31231647617,leyfi
387,1.89993443333,séu
388,2.17283086159,mér
389,2.56460438904,notkun
390,1.66766259536,þarf
391,2.33881392406,heim
392,3.42998658827,kona
393,2.47570435439,bandaríkjanna
394,2.20872162397,ensku
