Unnamed: 0,estimated-concreteness,word
0,3.4612474762,​
1,2.63922557317,</s>
2,3.31079358782,។
3,3.05349769481,}
4,2.7083711166,.
5,2.57957512673,","
6,3.19943740119,ជា
7,3.06751032765,បាន
8,2.96266659683,-
9,2.0588217068,the
10,3.13691344461,មាន
11,3.02611368694,)
12,3.0615111587,(
13,3.07930870394,ដែល
14,3.02979773131,'
15,3.18744978545,និង
16,3.04970291188,ក្នុង
17,3.20178480451,ថា
18,2.94937637263,ហើយ
19,3.24060978987,នោះ
20,3.53169493305,នៅ
21,3.15926006694,ភិក្ខុ
22,3.50635864148,ទៅ
23,3.1659049029,ព្រះ
24,2.31767941908,of
25,2.93785624944,របស់
26,3.08801489242,នេះ
27,3.31768264192,ក៏
28,3.06851412297,ការ
29,2.98046623281,ដោយ
30,2.72700636213,មិន
31,3.1025732442,ត្រូវ
32,3.33580390984,ឲ្យ
33,3.00057574157,នៃ
34,2.06182187119,and
35,2.99738278568,នឹង
36,2.14643533937,to
37,2.69638036422,តិ
38,3.63865005811,មក
39,2.41736951194,a
40,2.1212381037,in
41,3.43966806003,មួយ
42,2.80422192743,ដល់
43,3.05565056517,គឺ
44,3.04757836688,ទ្រង់
45,3.13079391657,\
46,2.66728258391,ទាំងឡាយ
47,3.57085763585,ពី
48,3.24552412214,អ្នក
49,3.6476560806,ក
50,3.43505279165,គេ
51,3.12454434605,ធ្វើ
52,3.46062011773,ត
53,3.21476187406,ពួក
54,3.37769906159,វា
55,3.21992539301,លោក
56,2.86416621024,ដ៏
57,2.74708759207,នូវ
58,2.91848895562,អ
59,2.40305310266,is
60,3.11946281451,ទេ
61,3.41945484494,#
62,3.36441773649,ឬ
63,3.23415504227,តាម
64,3.63622551437,ៗ
65,3.78139306984,យក
66,2.12790555613,for
67,2.65803500147,សេចក្តី
68,3.34423908661,តែ
69,3.27397193011,ទាំង
70,2.95737426825,ភិ
71,3.10127896891,/
72,3.76730998316,អា
73,2.7373786926,ព្រះអង្គ
74,3.32019670399,ន
75,3.34228843363,បេ
76,3.87592337722,ឯ
77,3.44848078252,ទី
78,3.54883312677,%
79,2.7220739364,ដើម្បី
80,3.26563031546,ខ្ញុំ
81,3.64685143335,ប្រទេស
82,2.71750317765,និ
83,3.22298843181,ឡើង
84,3.17172064566,ខ្លួន
85,3.11583494836,យើង
86,3.62906713366,លើ
87,2.7034717414,ម្នាល
88,3.38538616661,ចូល
89,3.25474139341,ណា
90,2.90275541357,បា
91,3.31470263929,ឆ្នាំ
92,3.04155543252,បើ
93,3.23368430075,គ
94,3.13651352692,ផង
95,2.86812799726,អាបត្តិ
96,3.15973298462,ឱ្យ
97,3.33526686457,គ្នា
98,2.49657229863,s
99,3.4897745525,ឃើញ
100,3.28675531228,មនុស្ស
101,2.23713826751,as
102,2.88815544153,អាច
103,2.09021893195,this
104,3.1247836206,ដែរ
105,3.32374264875,ទៀត
106,3.04129527878,វិ
107,3.5240227443,កា
108,2.53307830586,+
109,3.19327461445,សង្ឃ
110,3.02802554351,នៅក្នុង
111,2.06452355356,or
112,3.42402634764,ក្រុម
113,2.1217499424,be
114,3.61190537881,ឈ្មោះ
115,3.12853946942,ពាក្យ
116,1.90111128842,that
117,1.9808116301,with
118,3.79362108351,នាង
119,3.31381624077,ខ្មែរ
120,2.82627804272,e
121,2.81439700211,យ៉ាង
122,3.25861992192,ចេញ
123,2.52127079462,ព្រោះ
124,2.07469482786,on
125,3.36722598193,ភិក្ខុនី
126,2.96228464729,អង្គ
127,3.26141060405,នា
128,3.49302631791,ដូច
129,3.12749744716,យា
130,2.25517378312,by
131,3.45269338642,ស
132,3.07675024407,វិញ
133,2.1867504974,ចំពោះ
134,3.50626033372,ឯង
135,3.74123380916,ខ្លះ
136,3.46754703612,សា
137,3.35210305872,និយាយ
138,2.02782679722,style
139,3.23760215125,ច្រើន
140,3.7461705776,ស្រុក
141,2.83208375819,ឡើយ
142,3.16100685343,!
143,2.86491104364,ស្ស
144,4.14794248532,នាក់
145,2.97003975498,ទើប
146,3.09315537585,អោយ
147,3.03806104795,យ
148,2.9941554754,ហិ
149,2.35525884006,ធម៌
150,3.24626546201,អំពី
151,3.45237732803,វេ
152,3.22803653711,ភាគ
153,2.06186716283,it
154,3.71706634721,៖
155,3.03595238645,ត្រាស់
156,3.26065029473,ពេល
157,1.85046011005,are
158,2.90716366068,ទទួល
159,3.45924659839,នំ
160,3.05283263671,""""
161,2.89052432697,ដឹង
162,3.10533568892,កម្ពុជា
163,3.08412853332,លុះ
164,3.61666613397,រឿង
165,2.67627512598,កម្ម
166,3.11105302933,ខោ
167,3.7354926241,គាត់
168,2.61076303152,គួរ
169,3.67693445462,ខាង
170,2.32796169754,template
171,3.07104734298,ក្តី
172,3.64735069785,នាំ
173,2.05832627327,from
174,3.25424933503,សុ
175,3.50954415983,សំ
176,3.45855660356,សម្រាប់
177,3.36055669137,កាល
178,3.64085477205,ក្រុង
179,3.03124435693,សូម
180,3.16684825643,អស់
181,3.74781800815,តា
182,3.07123588418,ចិត្ត
183,3.45426928202,ពីរ
184,2.14527472985,if
185,3.0893472205,បិ
186,3.92823413946,មេ
187,3.40146185325,១
188,3.19690769031,សម័យ
189,3.2773053876,ចុះ
190,3.67766480041,ស្រី
191,3.49075685209,រូប
192,1.87327276786,not
193,3.11929252706,ស្ដេច
194,3.31892264424,តំ
195,4.16954511899,ចៅពញា
196,2.72826977483,បុគ្គល
197,2.6819887679,ទាំងនោះ
198,3.14751596935,ក្ខ
199,2.73422410558,ភាព
200,4.26870955406,ទឹក
201,4.10835972702,ទ័ព
202,2.29211961871,an
203,3.13933999077,ចិ
204,3.47910119236,រក
205,3.04987199011,ទិ
206,3.20065425585,ជាមួយ
207,3.29504311641,ថ្ងៃ
208,2.77945137222,គឺជា
209,2.58200793278,ហោ
210,3.63145086701,ធំ
211,2.44390836729,យ៉ាងនេះ
212,3.57054570804,នី
213,3.60027007171,លើក
214,2.91090727215,ចំណាត់ថ្នាក់
215,2.91749117525,យោ
216,2.00076906546,was
217,3.02732713934,សម
218,2.9887434692,គ្មាន
219,3.67029735609,តាំង
220,3.34705110747,ប
221,2.64747927791,text
222,3.15332074222,កើត
223,3.36475076436,ទុក
224,4.04854967503,ខេត្ត
225,3.28681330828,?
226,3.75960172812,មា
227,3.45767083871,ប្រើ
228,2.85891597167,សាសនា
229,3.03844196105,ណាស់
230,2.80907756378,បពិត្រ
231,2.55374148517,សោ
232,3.45188798824,តេ
233,2.93601086093,ពុំ
234,3.89619422745,កូន
235,2.89038172438,ក្ខូ
236,2.09628275506,templates
237,2.61040768878,ដូច្នេះ
238,3.00066024355,ជាតិ
239,2.85338743464,អ្វី
240,2.9700795728,មិនបាន
241,3.46974623179,ដូចជា
242,1.82565384821,data
243,2.60036271023,ចំរើន
244,3.7892978666,ជន
245,3.73405566483,កំ
246,2.80652766374,ល្អ
247,2.22997639207,បដិ
248,3.21579204997,ព្រះបាទ
249,3.47117056752,ត្រូវអាបត្តិ
250,3.85657321756,ភូមិ
251,3.45505967331,រា
252,2.75278508498,ពោល
253,2.28879144936,n
254,3.46739494586,កងទ័ព
255,2.98497936785,align
256,2.71960538164,ព្រះពុទ្ធ
257,3.54473501836,ម
258,3.2875717447,ជាច្រើន
259,2.12965805348,ប្រកបដោយ
260,3.2280780914,x
261,3.98448337158,ដាក់
262,2.10906616771,at
263,3.41667157614,សត្វ
264,3.47685944217,រាជ
265,3.06771624214,ផ្សេង
266,3.05752587912,មហា
267,3.16605582512,រាជា
268,2.59678900954,ច
269,2.63504172802,ត្វា
270,2.83470982822,^
271,3.24446350481,យំ
272,2.42284815959,ន្តិ
273,3.6151644441,កាន់
274,3.18731743518,អាយុ
275,2.71472658996,គ្រប់
276,3.06733631587,ទាំងអស់
277,2.83075635519,រោ
278,2.85279595339,ប៉ុន្តែ
