Unnamed: 0,estimated-concreteness,word
0,2.29873931817,</s>
1,2.39516516056,.
2,2.27853564051,","
3,2.27859241732,-
4,2.27607066542,'
5,2.29949043655,de
6,2.4313549193,an
7,2.26189106879,d
8,2.59721506833,der
9,2.983626468,)
10,2.9587441507,(
11,2.60092910482,vun
12,2.36266588812,a
13,2.36689561543,vum
14,2.1515212869,den
15,2.3882819532,ass
16,2.04447670218,am
17,2.44665587193,déi
18,1.8276410974,align
19,2.59619047223,op
20,1.95205751138,right
21,2.27471830981,eng
22,2.20354761571,huet
23,2.49631324386,zu
24,2.29527663483,e
25,2.32748151913,vu
26,2.14342086941,fir
27,2.29232833111,mat
28,2.44424636395,mam
29,2.33964641825,et
30,2.36010021587,och
31,2.00036962576,um
32,2.21013262151,war
33,2.08365264371,gouf
34,2.17787005003,en
35,2.52372607531,dem
36,1.81094326751,als
37,1.80588028361,–
38,2.69071831643,the
39,2.26732220696,sech
40,2.72823212906,aus
41,2.09162457909,la
42,2.14311487638,gëtt
43,2.00961401755,ginn
44,2.27727338826,bis
45,2.686125,spaweck
46,2.34860576359,ze
47,2.18521694783,regie
48,2.51059201637,si
49,2.57242898497,hien
50,2.59122517323,bei
51,2.82433801823,joer
52,2.53385536425,v
53,2.4541290811,sinn
54,2.32078945379,haaptacteuren
55,2.03381769007,engem
56,2.15634210165,wéi
57,2.96087778725,lëtzebuerg
58,2.25453232409,enger
59,1.80862576721,net
60,2.32607009916,dat
61,2.56187285445,oder
62,2.7222942614,chr
63,2.86105777602,s
64,2.24702740862,no
65,2.51785499601,un
66,2.50183658779,jean
67,1.9066938214,l
68,2.10521979952,le
69,2.48330932017,deen
70,2.77634729873,hie
71,2.54011338672,iwwer
72,2.08339328638,méi
73,3.05081535377,of
74,2.10188282654,des
75,3.13541140419,gemeng
76,2.46295332323,du
77,2.9936004546,arrondissement
78,1.93671332646,hunn
79,2.06791324052,joerhonnert
80,2.02637395595,duerch
81,2.13296325024,datt
82,2.78909787179,kuckt
83,2.07022049172,seng
84,2.30723530848,in
85,2.07220581209,nach
86,2.15013509521,se
87,3.11843019639,franséisch
88,3.54342877822,lëtzebuergesche
89,2.570114138,gebuer
90,1.99640077344,hat
91,2.67546886498,saint
92,1.39744367681,zum
93,2.85778404053,stad
94,2.96432417905,do
95,3.20264158683,kanton
96,1.90626721613,awer
97,2.47298786166,les
98,2.64890382409,m
99,3.8525517582,jpg
100,2.56379498924,all
101,2.58130944906,b
102,2.33103775113,een
103,2.87702159067,die
104,2.25402559412,ënner
105,2.23142142149,sou
106,2.72286899391,canton
107,3.66828391005,departement
108,2.86635712539,regioun
109,2.71825966946,dee
110,2.00710163397,/
111,1.55614160849,und
112,2.29301362525,tëscht
113,2.39089531624,mee
114,2.70181126741,dës
115,3.69133674829,säit
116,2.45827535496,pierre
117,2.19517124754,ëm
118,2.31712005082,film
119,2.68466731692,numm
120,2.52203454026,ee
121,2.91152495712,gestuerwen
122,2.02230453262,?
123,3.14484044744,luxembourg
124,2.82204110388,wou
125,2.53223403731,isbn
126,1.76111546546,éischt
127,2.63441845958,paul
128,3.6827659073,us
129,2.32483912332,deem
130,2.88369396899,kierch
131,2.27098139451,wat
132,3.59147827466,lëtzebuerger
133,2.21337075249,well
134,2.90321883771,von
135,2.29438741574,goufen
136,2.74692398517,sur
137,2.14590111111,hir
138,3.04071659815,lëscht
139,2.40845326507,z
140,2.62866992377,and
141,2.34116445826,zanter
142,2.51621863168,säi
143,2.6662073078,uertschaft
144,2.13756874865,oktober
145,2.34434787478,fläch
146,2.15491542757,robert
147,2.39536268921,ech
148,1.80177905857,juli
149,2.49524006662,mäerz
150,3.25748183383,gemengen
151,2.11100836859,sengem
152,2.36393168327,september
153,2.21330755892,dezember
154,2.13395545112,januar
155,2.64440474378,läit
156,2.44365105038,juni
157,2.08228349585,i
158,2.59519880345,där
159,2.21310576553,februar
160,2.33127023536,à
161,2.33145354632,august
162,2.07633904598,november
163,3.31282493525,utc
164,2.38949430087,chef
165,2.30258366681,senger
166,2.65444342951,""""
167,3.00790681262,john
168,2.41485992571,websäit
169,3.22659943699,lëtzebuergesch
170,2.8327626122,c
171,2.31711403373,waren
172,2.4829167273,kann
173,2.26154900917,beim
174,1.85591998619,genannt
175,2.55016491859,abrëll
176,2.95822837313,lieu
177,3.61244570512,politiker
178,2.66838282775,!
179,2.43184260011,zäit
180,2.37052567974,haut
181,2.56774510172,}
182,2.09880671959,gehéiert
183,2.54050677224,km
184,3.22871810532,schauspiller
185,2.72247155992,gemaach
186,1.54216098805,nom
187,2.20675027764,wann
188,1.7905611004,+
189,2.60880553043,administrativ
190,2.91855229446,franséische
191,2.35188054509,andeelung
192,2.4868735688,duerno
193,2.41847570946,geet
194,2.19898209979,ganz
195,2.47978990167,deel
196,2.56785057701,text
197,2.14210061931,fréier
198,1.72281941397,zur
199,3.34111756256,bar
200,2.15654599055,grand
201,2.75815811757,j
202,1.88951070173,mä
203,2.38579844916,géint
204,2.09231241986,virun
205,2.54708993653,charles
206,2.38516680701,ronn
207,1.81198035417,michel
208,3.36400084457,steet
209,3.59130952608,fichier
210,2.60389814652,plaz
211,2.16417721997,vill
212,2.56242984379,bekannt
213,2.31235629748,hu
214,2.99574924983,aner
215,2.79453845844,to
216,2.58305171865,frankräich
217,2.48278240901,artikel
218,2.43046724939,u
219,2.64770103183,krut
220,2.80011181443,paräis
221,2.21144375888,#viruleedung
222,1.86141356949,claude
223,2.91791738114,däitsche
224,1.92627558803,joseph
225,2.28519130065,grouss
226,2.01238769718,louis
227,2.3779680144,awunner
228,2.70453552097,h
229,2.03893937774,koum
230,3.36901183474,amerikanesche
231,2.22276689726,gi
232,2.03997795951,nei
233,1.84238959885,nëmmen
234,2.92324902643,peter
235,1.60800615021,éischte
236,2.51982800432,kënnt
237,3.32782288821,lëtzebuergeschen
238,2.56971794512,%
239,2.41231667444,puer
240,2.75658293864,dräi
241,3.07776921889,land
242,2.45096859665,dann
243,2.73737929499,jacques
244,1.83798859556,kultur
245,1.7999227985,säin
246,1.89399651236,offiziell
247,2.18400340205,gegrënnt
248,2.96212390398,from
249,2.5792992028,president
250,3.46904469084,däitsch
251,2.25955493193,konscht
252,3.31001107067,f
253,3.16918970791,meter
254,2.57813988782,&
255,2.26425508032,p
256,2.47072222841,n
257,2.79054752565,g
258,1.5605892619,ëmmer
259,2.8874725988,tour
260,2.52953819767,leit
