Unnamed: 0,estimated-concreteness,word
0,2.16577388127,'
1,2.08174300782,ny
2,1.72950512307,</s>
3,2.34496728574,.
4,1.77064141052,-
5,1.90672569641,dia
6,2.13898092189,i
7,2.36298785648,","
8,2.46381946762,amin
9,2.39909764773,ao
10,2.10578989847,ary
11,1.94799969076,kaominina
12,2.49341652488,tanàna
13,2.58014888408,)
14,2.67352670882,(
15,1.53099627586,ara
16,3.94240472234,rohy
17,2.34759761712,ivelany
18,2.65931987541,faritr
19,1.71631357704,isam
20,2.40290502676,ben
21,2.04622902458,ilay
22,1.93129206472,tamin
23,2.5778498084,koa
24,2.90553658258,jereo
25,2.1173083758,taona
26,2.21616636526,indrindra
27,2.0989239204,°
28,2.84262834789,faritany
29,2.24546656086,>
30,2.28004027379,fivondronan
31,2.49737034305,soratra
32,2.19430066509,eo
33,1.77156745065,de
34,1.95023123844,ponina
35,1.82763092476,metatra
36,1.99481346822,haavon
37,2.98713186648,freebase
38,2.82626833384,zavatra
39,2.16186685464,toerana
40,2.29135122084,mizaka
41,2.24280895251,frantsa
42,2.87093660719,ora
43,2.30633145154,ireo
44,2.05834999325,departemantan
45,2.26680485546,—
46,2.31742212928,velarantany
47,2.56489665059,teraka
48,2.42776408043,no
49,1.76870465486,fisiana
50,1.56459358843,daharampehintany
51,1.84414724319,daharanjarahasin
52,1.92917565937,com
53,2.26945181183,kaodim
54,2.98929646082,paositra
55,3.10534596997,masoandro
56,2.50482778651,#fihodinana
57,2.09306787061,jolay
58,3.17833181025,mpilalao
59,2.35658155358,manontolo
60,2.51011341693,voalohany
61,3.29071077268,lanja
62,3.23105489944,santiona
63,2.53575048695,pirenen
64,2.4990525483,zom
65,2.32079150705,any
66,2.2720067729,gmt+
67,2.01027616715,injeniera
68,2.41262720121,communes
69,2.04681535889,araka
70,2.89070345634,kainkintana
71,2.39006262648,//www
72,2.35319894873,ity
73,2.22808231779,www
74,1.82782796359,ponin
75,2.04661246059,mponina
76,2.28971513802,insee
77,1.72122968572,natao
78,2.69591599111,laharan
79,2.93337010789,madinidinika
80,2.0173150799,desimaly
81,2.72517381176,mampiasa
82,2.56689223679,https
83,2.2366071444,mandritry
84,2.62557117622,mpikambana
85,1.85389458271,fanisana
86,2.70729040071,kaominin
87,2.79802176585,laharam
88,2.6893795943,pehintaniny
89,2.70379125585,jarahasiny
90,1.9058717472,ambany
91,2.02746187888,avo
92,2.67013904391,etazonia
93,3.07589918426,baolina
94,3.25528401034,kitra
95,2.30488152624,manana
96,2.54312433002,izy
97,1.91896022104,jean
98,2.36365182291,noho
99,2.46781082959,maty
100,2.59152757033,au
101,3.12199402707,toeran
102,3.2334753559,soridalany
103,2.79011234046,na
104,2.90517239193,ankamaroan
105,2.3314036548,hoe
106,3.5266698459,km
107,2.26352963577,tenan
108,2.28688970701,gmt
109,2.61656140406,}
110,2.08690321745,tsy
111,2.43932203805,tao
112,2.90466957069,com/m/
113,2.48320955592,kilometatra
114,3.00193182131,mpanoratra
115,1.96891455147,saint
116,2.51066555268,la
117,2.48118606008,d
118,2.35263259974,izay
119,2.91113794168,hita
120,2.68480846343,izany
121,2.83844436971,manodidin
122,3.07626300802,habakabaka
123,3.01211756701,°c
124,2.95419077372,maso
125,2.88322895195,asiterôida
126,3.05328403755,fehiben
127,2.53037517885,misy
128,2.77262681094,talen
129,2.69213671907,koronantsary
130,3.76225648219,danitra
131,1.93734874433,lisitry
132,1.66734719499,et
133,2.09696923401,mpanao
134,2.70502784873,janoary
135,3.12891551149,}}
136,2.29605510491,anisan
137,2.43580897467,indray
138,3.38199448573,andro
139,2.67730290482,brazila
140,2.67340406919,hatramin
141,2.80513268698,tahaka
142,3.24254034398,akaiky
143,2.90079422824,potoana
144,3.2731245092,lavitra
145,3.60136416152,banky
146,2.68721086148,lokony
147,2.81393007942,mikasikan
148,2.93356935493,hijery
149,3.38151140667,kelikely
150,3.809079566,vaton
151,2.49087477645,degre
152,2.70414724767,mihodikodina
153,3.51097270603,angon
154,2.96264322871,halavam
155,3.09841006823,jpl
156,2.32706371983,elanelany
157,2.63611837261,hidodikodonany
158,2.56820949654,anômalia
159,3.29593895322,afeliany
160,3.21824398146,hamaizin
161,3.07626107414,perifeliany
162,2.85454275533,hakeliny
163,2.82660185262,fironany
164,1.5767007507,pierre
165,2.50215989004,azy
166,3.10603416961,teny
167,2.78975551663,fajiry
168,2.57306646756,alpes
169,2.81748256722,an
170,1.99026466747,picardie
171,2.05603861637,velarantanin
172,2.82059549703,ho
173,2.40454102819,toradroa
174,2.15232324176,pas
175,2.54245256564,haute
176,2.21786915046,calais
177,2.14864535658,le
178,1.93261334605,of
179,2.79493750446,sy
180,3.3110674116,normandie
181,2.32352631342,rhône
182,3.23513838002,zava
183,2.91782347623,senariô
184,2.36467737876,pays
185,2.49256241548,sur
186,2.71877789705,new
187,2.44947913364,atao
188,3.04762718369,tany
189,2.28136939514,fa
190,2.90852707361,fiteny
191,2.70107533533,charles
192,2.65883757997,toe
193,2.18625504442,nord
194,3.26202181341,manodidina
195,2.75639839165,faritan
196,3.84112624442,sary
197,2.98074494391,york
198,2.31367958446,louis
199,1.86326308352,du
200,2.08042278661,tanànan
201,2.9925975364,hafanana
202,2.38676955419,politika
203,2.53890923795,manodidon
204,3.25781494715,boribory
205,2.90673709612,tahaky
206,2.91997026999,fahasamihafan
207,3.42358833844,lavorary
208,2.92180036955,albedo
209,2.92470455953,asisterôida
210,3.79723921849,soridala
211,3.29777375135,pyrénées
212,3.05995930498,champagne
213,2.28294425911,loire
214,1.99499422403,toa
215,3.00781937643,malagasy
216,3.25824662582,kanji
217,3.68911689383,vita
218,2.56827623854,aquitaine
219,2.47829081333,kabakabaka
220,2.73382976881,ardenne
221,2.34937395207,io
222,2.23703391413,ofisialy
223,2.71519657434,piainana
224,2.47908907476,tantaram
225,2.76794033304,avaratra
226,3.02964707709,sehatra
227,1.95256634113,françois
228,1.91669400543,michel
229,2.94012793604,faritanin
230,3.41960145337,horonantsary
231,2.91663495788,centre
232,2.07469291426,en
233,2.33831790138,mpahay
234,2.55607706562,eure
235,2.94588825758,do
236,2.23574922907,claude
237,1.60110661687,jacques
238,1.91111493973,l
239,1.82346138137,paul
240,2.73348235864,languedoc
241,2.99763816149,roussillon
242,2.91758610753,karena
243,2.40870200586,atsinanana
244,2.58602118413,alemaina
245,2.62189600117,ka
246,2.16856890257,marie
247,2.16385912704,departementan
248,3.0702203409,nitranga
249,2.25416339456,lorraine
250,2.92400801554,midi
251,2.56281300606,martsa
252,2.39287254225,john
253,2.69599191163,the
254,3.24492419611,madagasikara
255,2.95011140065,pennsylvania
256,2.38974150607,s
257,2.48951202605,febroary
258,2.60843940031,laharanjarahasina
259,2.45244436771,mey
260,2.66634598209,oktobra
261,2.54237722583,}}}
262,2.72946358734,aogositra
263,2.76908653223,joseph
264,2.17536383203,raha
265,2.02630547869,communauté
266,2.55608890801,aprily
267,2.64135266077,septambra
268,2.67102418099,robert
269,2.63069895202,frantsay
270,2.474445362,desambra
271,2.74633978111,jiona
272,2.58759255573,novambra
273,3.21315973079,distrikan
274,2.98057140795,rio
275,3.19663562891,kalifornia
276,3.2331208935,olona
277,2.53048046474,quid
278,2.84113887066,ohio
279,3.52037141763,mpamoaka
280,2.6469488865,w
281,3.63950791002,tranonkalan
282,2.61596982565,minas
283,2.49405597017,aisne
284,2.57155044037,oise
285,2.79847461008,madinika
286,2.24822336939,manome
287,2.39013410798,côte
288,2.61588459149,texas
289,2.76709111054,minnesota
290,1.97081803315,andré
291,3.30882530539,lahatsoratra
292,2.29462545811,bernard
293,3.48402535991,pejy
294,1.46796226599,henri
295,3.37729078213,mpamorona
296,2.3742363135,somme
297,2.56531703297,bourgogne
298,2.4575654556,les
299,2.87530575995,iray
300,3.43899956315,afovoany
301,3.70626624632,kely
302,2.39814811407,fiainany
303,2.29492437226,william
304,2.48841707618,hatrany
305,2.14217647581,india
306,3.04283305958,fanjakana
307,3.32942557265,fihisahana
308,3.60620197121,excentricité
309,2.8207347144,a
310,2.49984627957,hakitroka
311,3.65037548595,karazana
312,2.55479847658,manokana
313,2.63362387402,tena
314,2.60232833654,eto
315,2.21501904548,marne
316,3.24206112609,dranomasina
317,4.04015606577,vy
318,3.21332798748,ampiasaina
319,2.93451956491,abidy
320,3.16089240846,são
321,2.02942657467,poitou
322,3.83327663901,vato
323,2.54403360068,or
324,2.48535771231,mihoatra
325,2.49671958072,iowa
326,2.67925963167,sul
327,2.47596865367,charentes
328,2.71897361974,drehetra
329,2.40056678954,hetsy
330,2.42797546004,zon
331,5.0,ranomandry
332,2.87149250313,hitan
333,3.14201449201,north
334,2.24007912196,refy
335,2.45889705774,mirefy
336,3.5630082643,voany
337,3.19777504898,dakota
338,1.97997965867,http
339,3.01526572022,planeta
340,2.40002365047,habeny
341,1.90823478435,iharan
342,2.4987594351,fizika
343,2.9403628,jupiter
344,2.78277458087,savaivo
345,3.80186687216,asterôida
346,3.42715556256,nikela
347,3.7474909995,sady/na
348,4.68307805284,"metaly,"
349,1.75970866873,des
350,2.02248083656,philippe
351,3.14733406985,mitambatra
352,2.06776899242,daniel
353,2.57814556926,ii
354,2.68234171469,von
355,2.78851176483,avy
356,2.84006113778,botsoana
357,2.47285340304,#
358,1.9592431691,georges
359,2.40767708719,gerais
360,2.65994244519,sivily
361,2.37587419721,gironde
362,2.58000293111,italia
363,3.56656966737,alain
364,2.12764101407,christian
365,2.74417337746,thomas
366,3.03028980823,basikety
367,2.62341258891,kansas
368,2.05667157057,moselle
369,2.52443128825,gérard
370,2.18680579634,loir
371,2.60236988826,seine
372,3.2937840913,basse
