Unnamed: 0,estimated-concreteness,word
0,1.89242279688,</s>
1,2.0936595887,.
2,2.33824799982,","
3,2.26317263695,-
4,2.20450438442,нь
5,2.4677684211,)
6,2.46415862944,(
7,2.54891687125,'
8,2.00180539723,ангилал
9,2.41357297714,}
10,2.12360193447,оны
11,2.06988052191,онд
12,1.88054066331,юм
13,2.14971926841,сарын
14,1.83607501188,байна
15,2.06538804065,болон
16,2.60378636906,""""
17,1.95210953172,энэ
18,2.09651923825,байсан
19,2.51303168483,улсын
20,1.98091211026,ба
21,2.04638978876,бөгөөд
22,2.47309960877,}}
23,2.00855266971,–
24,2.93609886537,—
25,2.83368881496,монгол
26,1.96749592239,их
27,1.90007316853,the
28,2.1611091971,олон
29,1.93027811894,гэж
30,2.4250710023,улс
31,1.8922274028,байдаг
32,2.41877044249,нэг
33,1.87522558301,ч
34,2.11245106907,нд
35,2.58926570901,төрсөн
36,2.62765463172,хүн
37,1.90311200183,мөн
38,2.66432193077,}}}
39,1.70840704738,of
40,3.03803237479,газар
41,2.04525671112,р
42,2.40658877841,а
43,2.411142285,багийн
44,2.02796162451,/
45,2.31981736859,ын
46,2.15305412351,бол
47,1.93656213817,болсон
48,2.10052892439,үед
49,2.00744205695,д
50,2.1949468916,байв
51,2.41154943485,буюу
52,2.11672246126,хамгийн
53,2.4388897743,нэр
54,2.51652253738,дээр
55,2.17993028147,style
56,2.60129211523,зэрэг
57,2.52647470348,монголын
58,2.2938950244,түүний
59,1.96076955154,гэсэн
60,2.19737139315,бусад
61,2.27738997189,#
62,2.23631014856,байгаа
63,2.29274387646,дахь
64,2.29214515873,тус
65,2.39373294865,хоёр
66,2.61430797897,дэлхийн
67,2.03991316233,болно
68,2.40066500558,он
69,2.26464244376,align
70,2.2188058635,болох
71,2.72849556458,хот
72,1.51456974459,and
73,2.09475533646,дараа
74,2.92431619379,гол
75,2.12132300736,гэдэг
76,3.12401707671,аймгийн
77,1.74027264846,үйл
78,2.1317653455,байх
79,2.03149141476,a
80,2.90136346037,төв
81,1.98061007278,тэр
82,3.44353003447,зураг
83,2.54539589499,%
84,3.02398180356,тоглогчид
85,2.76405570565,хаан
86,2.21652347622,болж
87,3.09491569185,холбоос
88,1.72308072589,+
89,2.38274884163,н
90,1.84506820222,бүх
91,1.83216248079,л
92,1.78259708453,in
93,3.41560482185,jpg
94,2.37204118309,анхны
95,2.25902459484,text
96,2.11951375038,тухай
97,2.28276317216,ийн
98,2.54140923934,баг
99,2.46853201756,эх
100,2.19817932475,өмнө
101,2.07060093621,шинэ
102,2.84588067581,аварга
103,2.53574109772,орон
104,2.15683815518,байжээ
105,2.56891189346,нутаг
106,2.2206794605,тэрээр
107,2.55771955207,нас
108,2.60872463294,шигшээ
109,2.42710082946,цэргийн
110,2.48516806506,баруун
111,2.61927347638,төрийн
112,2.0874852667,гэх
113,1.98993642406,жилийн
114,1.96576895093,бий
115,2.09383166597,засгийн
116,1.82274467244,to
117,2.1334232629,өндөр
118,2.03522656267,хүртэл
119,2.81598312702,м
120,2.06951053755,өөрийн
121,2.32149527014,бага
122,2.66343328298,зүүн
123,2.1682507262,буй
124,2.33815269064,үеийн
125,2.53575018569,px
126,2.59562708923,америкийн
127,2.21557311178,гадаад
128,2.81281511435,том
129,2.07120083898,дээд
130,2.52883497533,нэгэн
131,2.15421085568,s
132,2.28685047124,өмнөд
133,2.56700678659,хөлбөмбөгийн
134,2.20268689689,жил
135,2.07068985818,авч
136,2.01100344243,өөр
137,2.97332371425,хэсэг
138,1.75670975443,албан
139,2.28704637492,f
140,2.32160925698,эсвэл
141,2.03454673049,!
142,2.8518773349,газрын
143,2.10170096913,харин
144,1.88880655783,тухайн
145,2.47015938281,аж
146,2.95291181797,тоглогч
147,2.22372042405,ану
148,1.88184376575,data
149,2.56679039745,шилдэг
150,2.32791352756,border
151,1.87234734761,left
152,2.27362327151,оноос
153,1.9337313213,бүхий
154,2.3054580086,сая
155,2.53061973611,уран
156,1.65869025305,боловч
157,2.76072300247,төрөл
158,2.76249385609,хэл
159,2.44063618501,хойд
160,2.98836283806,нар
161,2.24692339695,зарим
162,1.90946243885,анх
163,2.85016637816,хотод
164,2.41328411052,сард
165,2.12047862203,хувьд
166,1.70596886035,хэмээн
167,2.44559435699,гийн
168,2.58277644778,г
169,2.55110990817,өдөр
170,2.21810776668,лигийн
171,2.04325236708,маш
172,2.3490399354,оросын
