Unnamed: 0,estimated-concreteness,word
0,1.82292072661,</s>
1,2.19211447277,.
2,2.07707568821,","
3,2.47880665238,-
4,2.17166491723,'
5,2.2531514148,)
6,2.24562722066,(
7,2.60822427436,वर्ग
8,2.28961683143,आहे
9,2.1965494577,आणि
10,2.65368436434,इ
11,2.57007404705,स
12,2.30870720307,व
13,2.23170938631,या
14,2.54599319608,}
15,1.88486748626,the
16,2.5045133636,हे
17,2.38605734031,#पुनर्निर्देशन
18,2.88866390824,हा
19,2.7371519765,एक
20,1.80036377138,of
21,2.32535237302,आहेत
22,1.99613405889,rd
23,2.36881826088,मराठी
24,2.35044215735,होते
25,2.35669780052,ते
26,2.0681992668,ही
27,1.98389408517,and
28,1.93777910145,to
29,1.90627307604,a
30,1.74850012042,in
31,2.41752922017,भारतीय
32,2.10870452362,असे
33,2.60144077162,च्या
34,2.15357529648,score
35,3.21479292184,}}
36,2.31559600185,१
37,2.60980367154,विकिपीडिया
38,1.92819013848,नाही
39,2.26644625522,केले
40,2.46105480431,style
41,1.98898703707,is
42,2.68092310211,येथे
43,3.01954589122,चित्रे
44,2.41232044592,२
45,2.3483813941,षटके
46,2.48353308322,मधील
47,2.39552475938,होता
48,2.18077612981,तर
49,2.27591852653,मध्ये
50,3.0340315453,दुवे
51,2.38825015575,बाह्य
52,2.04220597833,त्यांनी
53,2.2529676683,ह्या
54,2.56577854274,#
55,2.2733787232,केली
56,2.7018322968,पुरस्कार
57,2.99883673247,px
58,2.11986886244,काही
59,2.32908616702,म्हणून
60,3.05597078201,जन्म
61,1.6732419109,s
62,1.76512745479,for
63,2.07371758327,अनेक
64,2.29380226025,त्या
65,2.1929148876,झाले
66,2.57418659767,क्रिकेट
67,2.75981639054,किंवा
68,2.08565498241,यांनी
69,2.3572087739,border
70,2.41207535474,४
71,2.87941017509,चित्रपट
72,2.07707076285,होती
73,2.50890993285,३
74,2.86551833489,}}}
75,2.18021607407,केला
76,2.48977484152,५
77,2.3117948669,वर्षे
78,2.47860143179,१०
79,2.24155254033,करून
80,2.6011958814,align
81,2.56552030074,चित्र
82,2.65901800951,jpg
83,2.57886811938,असून
84,2.70550410753,चे
85,2.33448235432,जाते
86,2.43971552555,?
87,2.49481002901,साली
88,2.41556858167,!
89,2.53446166129,f
90,2.65532606198,महाराष्ट्र
91,2.57820000535,साहित्य
92,2.30536050839,तसेच
93,2.89922807853,नाव
94,3.31637040733,खेळाडू
95,2.49308951247,झाला
96,2.84829789282,सर्वात
97,2.84858299393,तो
98,2.01016011889,this
99,3.45062663986,जिल्हा
100,2.48003948614,राष्ट्रीय
101,2.31519874166,सर्व
102,1.43934423237,or
103,1.88647074975,by
104,3.13361445061,लोकसभा
105,2.4256257347,इतर
106,3.00250773499,लेख
107,2.69557859185,दोन
108,2.35180853701,आले
109,1.9289764176,on
110,2.52377051995,text
111,2.26229868591,म्हणजे
112,1.93060056802,as
113,2.15581030871,team
114,2.58959687331,६
115,2.22000398625,माहिती
116,2.19171058887,झाली
117,1.83731914453,त्यांच्या
118,2.52318557054,०
119,3.48270604784,पाने
120,2.23226258686,पण
121,3.26375378492,शहर
