Unnamed: 0,estimated-concreteness,word
0,1.9959019573,</s>
1,2.48448676599,","
2,2.36311926095,.
3,2.2306537169,-
4,2.61882111958,'
5,2.73142248474,)
6,2.69072818504,(
7,2.09937449543,}
8,2.56757787649,।
9,2.45790750961,श्रेणी
10,2.17517452779,र
11,2.22105584181,the
12,2.1942250784,पनि
13,2.76159765741,यो
14,2.6900928336,एक
15,1.790136028,of
16,2.78335624791,}}
17,2.20935251824,हो।
18,2.36720734896,छ
19,2.59011041471,हो
20,2.45596413435,तथा
21,2.46686482277,छ।
22,1.76125389627,to
23,2.23751208473,यस
24,2.60962315811,सन्दर्भ
25,2.08363945753,a
26,2.07193945351,and
27,2.6642915435,नेपाली
28,2.67002904094,भएको
29,2.73753081916,मा
30,1.99148892453,in
31,3.09411554421,}}}
32,2.0244853786,is
33,2.88772955564,नेपालको
34,2.63655492239,वा
35,1.86757348429,for
36,2.30312485281,विकास
37,2.41252697904,लागि
38,2.77551934947,जिल्ला
39,2.91665045332,को
40,2.80004325937,रहेको
41,2.37535237019,गर्ने
42,2.11651363183,this
43,3.08508688481,नेपाल
44,2.4117820369,#
45,2.25761749965,style
46,2.25250199886,रूपमा
47,1.91469473681,if
48,2.39490677858,गर्न
49,2.05973116858,data
50,2.34692437982,समय
51,2.17686600442,or
52,1.84547975827,template
53,1.76082018053,subdivision_type
54,2.12865924206,subdivision_name
55,2.36262483149,भने
56,3.27796724377,सामग्रीहरू
57,2.03118027733,छन्
58,2.59626976104,सन्
59,2.56723057768,थियो
60,2.21668754401,आफ्नो
61,2.78996319528,वर्ष
62,2.56729020547,थियो।
63,2.58883212056,अञ्चल
64,1.69399258317,be
65,2.33956786561,हुन्छ
66,2.01672154445,नै
67,2.43482213364,label
68,2.71069845379,}}}}
69,2.57320201255,यसको
70,3.79182432626,गाउँ
71,2.02779993968,छन्।
72,2.16364995592,–
73,1.72924320416,/
74,2.11242693126,s
75,3.00714489392,एउटा
76,3.1041495729,क्षेत्र
77,2.4215625258,अनुसार
78,1.96562115323,!
79,1.47824650638,templates
80,2.13660083251,text
81,1.38444491381,name
82,3.17260375481,संवत्
83,2.29348133657,गरेको
84,2.75274362523,वि
85,2.29406227688,गरिएको
86,2.29720147037,१
87,2.05080443184,हुने
88,2.27496702611,हुन्छ।
89,2.28555259989,कुनै
90,2.81169629591,नाम
91,2.3598534466,अन्य
92,2.19262051706,तर
93,2.31962732397,धेरै
94,2.50144414499,देखि
95,2.78104774331,उनले
96,2.70976359686,नेपालका
97,3.02802777725,जिल्लामा
98,2.716326066,थिए
99,3.15948041477,समिति
100,2.02330763895,as
101,1.73920141832,title
102,1.64754475783,not
103,2.2893131586,भन्ने
104,2.75817563028,४
105,3.08216292907,अवस्थित
106,2.08585678492,with
107,2.39412358762,flag
108,1.78242107898,type
109,3.16363502016,जन्म
110,1.88251981737,on
111,2.48342244988,केही
112,1.41463122124,list
113,2.38814026323,२
114,2.02714264574,विश्व
115,2.43107136689,बाहिरी
116,2.19762173139,it
117,3.21419265723,चलचित्र
118,2.13865856847,गरी
119,2.29627119413,गरेका
120,2.85537500432,नेपालमा
121,2.88152779165,उनी
122,3.04176373058,जिल्लाको
123,2.55951415423,align
124,2.54879485074,प्रयोग
125,2.0528210375,that
126,2.56691194157,ई
127,2.67150804006,राष्ट्रिय
128,2.76769517922,भारतीय
129,2.66100522726,भारत
130,2.65312044055,उनको
131,2.10832322647,हुन
132,1.766731766,are
