Unnamed: 0,estimated-concreteness,word
0,2.69227060781,</s>
1,2.76953815705,","
2,2.6053252081,-
3,2.50415558957,.
4,3.1091802495,ਦੇ
5,3.00084901752,'
6,2.877304731,ਵਿੱਚ
7,3.02205288632,)
8,3.00269955629,(
9,2.97899287713,ਦੀ
10,3.10604297974,ਦਾ
11,2.35116127656,}
12,3.03753421447,ਅਤੇ
13,3.22648781289,ਹੈ।
14,2.85761586512,ਨੂੰ
15,3.1591395326,ਹੈ
16,3.52088541082,ਇੱਕ
17,2.09682209685,the
18,3.11226013979,ਤੋਂ
19,2.90734476903,ਇਸ
20,3.39701055936,ਸ਼੍ਰੇਣੀ
21,3.10263144366,ਤੇ
22,2.89887359971,ਨੇ
23,3.19673418181,ਇਹ
24,3.00657588047,ਨਾਲ
25,2.13121517252,of
26,2.78975594489,ਵੀ
27,3.03348786973,ਹਨ।
28,2.72925494098,ਲਈ
29,2.92436459743,}}
30,3.20057656215,ਸੀ।
31,3.88777670591,ਪਿੰਡ
32,2.05228050141,to
33,2.19727825207,and
34,2.48396319035,a
35,3.3757053962,ਸਿੰਘ
36,2.96765328763,ਹਨ
37,2.92457219618,ਕਿ
38,2.98549408006,ਕੇ
39,3.59978793595,ਭਾਰਤੀ
40,3.28380490964,ਪੰਜਾਬੀ
41,3.62288891536,ਪੰਜਾਬ
42,2.99849639413,ਉਸ
43,3.12092559797,ਜਾਂਦਾ
44,2.68100577672,in
45,2.88212593505,ਸੀ
46,3.1331878745,ਉਹ
47,3.26065412495,ਜੋ
48,2.94249993686,ਹੀ
49,3.27383867772,।
50,2.74000326563,ਦੀਆਂ
51,3.42857286525,ਭਾਰਤ
52,2.46663816527,for
53,2.97085379616,}}}
54,2.24774003203,data
55,2.75051172424,ਕੀਤਾ
56,3.28324132995,ਜਾਂ
57,3.19046100309,ਉੱਤੇ
58,2.81150204949,ਵਿਚ
59,2.1762638829,is
60,2.9958736199,ਕਰ
61,2.93629233595,ਹੋ
62,2.67460436609,ਨਹੀਂ
63,2.54842717377,label
64,2.91629859468,ਗਿਆ
65,3.51368182733,ਸਾਲ
66,3.1069347409,ਰਾਜ
67,2.82239019151,demographics
68,3.78973222526,ਸ਼ਹਿਰ
69,2.61081022642,align
70,2.56103691956,ਕਰਨ
71,2.69236521073,ਉਨ੍ਹਾਂ
72,3.24943799334,ਜਿਸ
73,3.3311821702,ਜ਼ਿਲ੍ਹਾ
74,2.6483331124,style
75,3.04891720865,ਆਪਣੇ
76,3.09381068295,ਹੁੰਦਾ
77,2.80499316328,–
78,2.3395911666,if
79,2.4776627606,blank
80,2.67471542815,+
81,2.9654481486,ਲੋਕ
82,2.45310719737,s
83,2.40468683795,or
84,4.55810068933,ਬਲਾਕ
85,2.12809826026,subdivision_type
86,2.85069119378,ਹੋਰ
87,2.58329807677,subdivision_name
88,2.81975439615,ਤੱਕ
89,3.16345949027,ਸਭ
90,2.89340006251,ਕੀਤੀ
91,2.83272896228,ਬਾਅਦ
92,2.90036609067,ਤਾਂ
93,2.68246426794,ਪਰ
94,2.31784025156,be
95,2.91371833036,ਤੌਰ
96,2.7117346249,ਜੀ
97,3.23612848386,#ਰੀਡਿਰੈਕਟ
98,2.61876868795,}}}}
99,3.5212415658,ਜਨਮ
100,3.31451007094,ਕਿਸੇ
101,2.07406227615,this
102,3.00670463589,ਸਨ।
103,1.93085438882,text
104,2.35699107742,with
105,3.16498282052,ਹੋਇਆ
106,2.49614066584,left
107,2.86424425994,ਬਹੁਤ
108,2.96303705668,ਰੂਪ
109,2.79725840409,#
110,2.77080903662,ਗੁਰੂ
111,3.18090574908,ਸਾਹਿਬ
112,3.13573030942,ਜਾ
113,4.00020760979,ਜ਼ਿਲ੍ਹੇ
114,3.2230833312,ਭਾਸ਼ਾ
115,2.61627979539,local
116,2.38874814427,!
117,2.95657246052,ਵਾਲੇ
118,2.43727467423,on
119,2.87035197165,ਭਾਸ਼ਾਵਾਂ
120,2.69387400829,%
121,3.00299880065,ਗਿਆ।
122,3.22532092814,px
123,2.30522262782,as
124,3.01876121491,ਸਮਾਂ
125,1.93781341659,that
126,3.18804784154,ਦੋ
127,1.99078123937,not
128,3.05334754519,ਸਮੇਂ
129,2.96447683399,ਸਾਹਿਤ
130,2.05480684321,e
131,1.97794446263,by
132,2.71556403679,then
133,4.02537252217,jpg
134,3.0870824628,ਨਾਮ
135,2.80154540213,svg
136,3.04514094134,ਚ
137,2.87334356911,ਦਿੱਤਾ
138,2.84680600247,ਕਈ
139,3.05751363417,ਆਪਣੀ
140,2.13839523177,it
141,2.69545836109,ਹੋਣ
142,3.06660345043,ਹੁੰਦੀ
143,1.8030874255,are
144,2.3499215619,flag
145,2.33568195014,utc_offset
146,3.27715633914,ਸਰਕਾਰੀ
147,3.31307399445,ਜਾਂਦੀ
148,3.19564023608,ਕੋਈ
149,2.65296960907,ਕਿਹਾ
150,3.23033146283,border
151,3.04615936542,ਦੁਆਰਾ
152,2.0554697405,from
153,3.09680215957,ਸ਼ੁਰੂ
154,3.23357225976,ਵਲੋਂ
155,2.71759480978,i
156,2.98395795674,ਗਈ
157,2.46848802095,_title
158,2.3170022924,page
159,3.15688627061,ਕੰਮ
160,3.11948454168,ਮੁੱਖ
161,3.12452282936,_info
162,3.27145224912,ਵਿੱਚੋਂ
163,2.85791913795,unit_pref
164,3.20759592042,ਨੇੜੇ
165,3.12371683259,ਹੋਏ
166,3.1472341693,ਵਿਗਿਆਨ
167,2.50370982498,auto
168,2.43741999476,template
169,3.02263858207,ਪਹਿਲਾਂ
170,3.20695510518,ਦਿਨ
171,2.91270272364,ਨਾ
172,2.7616388549,image
173,3.26994982835,ਏ
174,3.34288337474,ਖੇਤਰ
175,3.44865417171,ਹੋਇਆ।
176,3.05079203278,ਵਾਰ
177,3.3363950239,ਦੇਸ਼
178,3.13340564637,ਹੁੰਦੇ
179,2.94439954971,ਸਨ
180,3.03572935866,ਕੀਤਾ।
181,2.94487346041,ਕਰਦਾ
182,2.53111811582,timezone
183,3.40587472267,file
184,2.96255847579,ਅਨੁਸਾਰ
185,2.73505466044,ਜੀਵਨ
186,2.10779149644,name
187,2.42120313321,population_density_km
188,2.77451906286,ਕਰਦੇ
189,3.22648163132,ਸਕਦਾ
190,3.12710601567,ਵਾਲਾ
191,2.92457472465,ਜਦੋਂ
192,2.4573594121,metric
193,3.00217403157,center
194,4.25873866338,ਜਲੰਧਰ
195,3.70052214746,ਲੇਖਕ
196,2.75090200682,ਮਿਆਰੀ
197,2.8410647359,ਵੱਖ
198,2.78251141295,/
199,2.96118158838,ਕੁਝ
200,2.5351223003,_name_sec
201,2.66443986734,t
202,2.94662314269,_info_sec
203,3.14416955774,ਇਕ
204,2.85696101054,""""
205,3.19943652233,ਲੋਕਾਂ
206,2.47792603134,you
207,3.18009771421,width
208,1.80531551998,at
209,2.19872629483,color
210,2.84825841894,ਸਾਰੇ
211,2.77819155679,ਬਾਰੇ
212,2.75815384219,ਕਾਰਨ
213,2.31896748449,demographics_type
214,3.23647757999,ਹੋਈ
215,3.13652113127,f
216,3.41214721625,ਦਸੰਬਰ
217,2.54583331415,postal_code_type
218,2.03764420043,an
219,3.15898251022,ਨਾਂ
220,3.04605180288,ਸਦੀ
221,2.63082321784,ਇਨ੍ਹਾਂ
222,2.58263728678,ਆਮ
223,3.27104585697,ਜਾਣ
224,1.61698175018,rd
225,3.23574590494,ਅੰਗਰੇਜ਼ੀ
226,3.1858622009,ਗਏ
227,3.14706148533,ਮਾਰਚ
228,3.13916621113,ਜਨਵਰੀ
229,3.11528721949,ਯੂਨੀਵਰਸਿਟੀ
230,3.07410337945,ਸ਼ਬਦ
231,2.50171303412,parts_type
232,2.65895084709,p
233,3.44004760281,ਜਾਂਦੇ
234,2.8920643111,ਕੀਤੀ।
235,3.14923783428,ਜੁਲਾਈ
236,3.02343092585,ਹੁਣ
237,3.31809706731,ਅਕਤੂਬਰ
