Unnamed: 0,estimated-concreteness,word
0,2.38910307707,</s>
1,2.33773651968,.
2,2.61897669086,","
3,2.74382451296,-
4,2.60726199286,)
5,2.56780098125,'
6,2.64556233818,(
7,2.75851379755,}
8,1.88474561304,the
9,1.94761762836,of
10,2.64597369225,හා
11,2.82173408206,සහ
12,2.83801620565,අතර
13,1.93527859937,to
14,2.754611118,වන
15,2.12676300324,a
16,1.86171071955,and
17,2.58195223833,මෙම
18,2.57574205094,}}
19,1.96028199311,in
20,2.60573436604,ලෙස
21,2.50480796362,ඇති
22,2.24265381639,is
23,2.40729641642,වේ
24,2.60793145733,සඳහා
25,2.67681604922,වූ
26,2.58358778927,විය
27,2.62301295885,කරන
28,2.4277755662,විසින්
29,2.50086139431,ඇත
30,2.75879580362,දී
31,1.99796893331,for
32,2.89999641923,ද
33,2.70440527969,හෝ
34,2.83250307846,ප්‍රවර්ගය
35,2.91337889339,ශ්‍රී
36,3.06844187002,}}}
37,2.59316867543,කර
38,2.61080495769,එය
39,1.9388729066,or
40,1.97506072356,be
41,2.5264292378,කිරීම
42,2.02350946955,this
43,2.55359647839,කළ
44,2.3376037535,යන
45,2.37596824641,නම්
46,1.86515648985,data
47,1.78372314195,that
48,1.97783324592,as
49,2.37561878538,එම
50,2.0846525614,if
51,2.641091736,style
52,2.72795774241,යනු
53,2.51481869029,බව
54,2.31723009652,මේ
55,1.96980044623,are
56,2.64577478487,ඒ
57,1.96395706092,not
58,2.40033210804,on
59,2.62261899642,වශයෙන්
60,2.51541527902,විට
61,2.87188400663,ක්
62,2.35668917344,with
63,2.16592358709,s
64,2.62878987081,ලදී
65,2.83121178362,label
66,2.72696753456,ලංකාවේ
67,2.55070241132,නිසා
68,1.8918666533,it
69,2.45105565305,වී
70,2.91239971466,ඔහු
71,1.99943168899,by
72,2.3466846794,wikipedia
73,2.6317131879,සිදු
74,2.84545567889,සිට
75,2.80203776963,%
76,2.84960220427,එහි
77,2.85182366161,මෙය
78,2.5564679818,වල
79,2.90033964641,ලද
80,2.41556309337,මගින්
81,2.36525637939,අනුව
82,2.34217662805,කිරීමට
83,2.40936391369,හැකි
84,2.6928743284,වැනි
85,2.63354819353,–
86,2.78411596762,භාවිතා
87,2.53832437779,බොහෝ
88,2.35992668061,an
89,2.06560387847,#
90,2.33670217501,""""
91,2.87162850709,එක්
92,2.00965607958,page
93,3.00881157051,}}}}
94,2.57472826322,වන්නේ
95,2.58403054675,කල
96,2.08913316465,template
97,1.91628897846,you
98,2.36002506968,කරයි
99,2.64669033432,හැක
100,2.26255641347,!
101,2.00841563889,text
102,2.58492001156,තුළ
103,2.5682259677,ලබා
104,2.68932326085,දක්වා
105,2.11613579196,/
106,2.25651991743,බවට
107,2.93132594976,දින
108,2.36810260763,පිළිබඳ
109,2.65497328585,මත
110,2.5409337958,#යළියොමුව
111,2.1069404198,පත්
112,2.18594169496,+
113,1.85501259034,from
114,2.51789729916,නමුත්
115,2.01923003907,වඩා
116,2.37327250795,සදහා
117,2.69582009448,align
118,2.4881787136,වැඩි
119,2.33068176284,කරනු
120,2.73560971303,ප්‍රධාන
121,2.39503143396,වලට
122,2.34312503635,can
123,2.32585039693,වීම
124,2.74239921154,විද්‍යාව
125,2.52007955739,සමග
126,2.2044515639,use
127,2.57371073008,තුල
128,2.33302065866,පසු
129,2.8116451385,image
130,2.77581427498,ඔහුගේ
131,2.66601469286,විශාල
132,2.82827154097,පමණ
133,2.65145066878,කටයුතු
134,2.35125100998,ඉතා
135,2.6716795885,ගෙන
136,2.42564527125,වලින්
137,2.77365420936,වෙයි
138,2.13945824171,article
139,2.2927656623,ඒවා
140,2.35603856973,හැකිය
141,2.47266442642,ගත
142,2.24559843694,විවිධ
143,3.1020004746,•
144,2.17847480365,name
145,2.00104801299,at
146,2.50858974516,e
147,2.9283326641,මහා
148,2.81757799261,එක්සත්
