Unnamed: 0,estimated-concreteness,word
0,2.03273830621,</s>
1,2.26914644155,","
2,2.18545988609,.
3,2.16272394364,të
4,2.11539338353,e
5,2.33293189991,në
6,2.1834438679,-
7,1.72821977931,i
8,2.11539372761,dhe
9,2.33535385198,'
10,2.31076760264,)
11,2.29853291367,(
12,2.10352532462,me
13,2.55449420714,një
14,2.005320893,nga
15,2.20276529789,për
16,2.25928126761,është
17,2.14980583285,që
18,2.09643167301,më
19,1.67310819179,u
20,2.02481296838,si
21,1.96327645852,te
22,2.04886070015,së
23,2.14551130276,ka
24,1.97817762356,edhe
25,2.23276793223,""""
26,2.12178062617,–
27,1.67366979747,se
28,1.98144715063,tij
29,2.1455727438,ne
30,1.72660925737,nuk
31,2.1779449906,ishte
32,2.15936451724,ai
33,2.28223040366,}
34,2.33893355921,janë
35,2.02432426717,duke
36,2.39057192231,#
37,1.67610784753,do
38,2.09322836091,the
39,2.19164672804,shumë
40,2.20162589735,vitin
41,1.85109584844,por
42,2.02918981379,pas
43,2.28691205577,prej
44,2.13985097517,këtë
45,2.12670787793,parë
46,2.09674939773,tyre
47,2.07008832141,ku
48,1.82060056875,mund
49,2.25615764837,a
50,1.71707788252,of
51,2.47447602258,ose
52,2.43501711857,gjatë
53,2.18404028998,disa
54,2.55070957606,lidhje
55,2.06037914644,kjo
56,2.38571528528,dy
57,2.08612756161,kur
58,1.89891855286,t
59,2.45950102876,s
60,2.84535875667,mbi
61,2.12148991705,deri
62,2.03984650587,jashtme
63,2.36462113747,saj
64,2.18425029035,kishte
65,2.20428854272,kanë
66,2.21678651498,de
67,2.05115001504,qe
68,2.50323455155,ajo
69,2.21816274056,vitit
70,1.88540279545,vetëm
71,2.17204843189,ta
72,2.26306267579,cili
73,2.12839597175,ata
74,2.15105283928,tjera
75,2.6870191629,pjesë
76,2.12168248001,ky
77,2.37141237693,atë
78,2.02849128939,sipas
79,2.09460562727,po
80,2.33070321372,shqiptare
81,2.07655061315,!
82,2.22803446725,madhe
83,2.83935224702,}}
84,1.84977239117,and
85,1.85020065098,in
86,2.6585013877,rreth
87,2.17573984465,para
88,2.18782299087,ishin
89,2.21458834737,per
90,2.05936475569,pa
91,2.20269455671,këto
92,2.29982334631,apo
93,2.97585298253,banorë
94,2.40015468903,komuna
95,2.54347192519,cila
96,2.02623431928,gjithë
97,2.82068424756,p
98,2.38143839428,/
99,2.57723858815,nje
100,2.12082995871,kundër
101,1.99200813708,madh
102,2.78142720372,%
103,2.46716334688,lista
104,2.35300802137,qenë
105,2.42585574509,kantoni
106,2.3797661662,km
107,2.22609839168,gjithashtu
108,1.90980666856,ndërsa
109,2.30314658511,cilat
110,2.15669296602,ndryshme
111,2.34375993118,shqipërisë
112,2.39922119266,etj
113,1.60224703821,duhet
114,2.01628887148,gjitha
115,2.67922105268,sipërfaqe
116,2.31056894083,ato
117,2.26390244112,?
118,2.297241189,m
119,1.89036512832,përgjithshëm
120,2.40680472942,tjetër
121,1.66718816981,jo
122,2.86203337357,to
123,2.18884020789,njohur
124,3.00886090049,shih
125,2.27406295485,kësaj
126,2.27965491716,shqiptar
127,1.87833384666,sa
128,3.3678557685,kryeministër
129,2.06929059068,style
130,2.34076945511,#ridrejto
131,1.92543796477,dytë
132,2.12250001224,mirë
133,2.01084258304,fundit
134,1.92639093907,pasi
135,3.20169154828,shiko
136,2.37047710985,nën
137,2.89131013909,jpg
138,2.35197503612,herë
139,2.16492649398,n
140,2.48930719698,viti
141,1.66912105571,tek
142,2.05359632273,sot
143,2.15016947408,çdo
144,2.27751183364,kohë
145,2.42525125213,lartë
146,2.65368781903,popullsi
147,2.40528938846,ii
148,2.30744786866,kosovës
149,2.49983671625,d
150,3.26192096952,komunë
151,2.22426912169,jetë
152,2.63380190006,l
153,2.67918144924,v
154,3.11065707405,president
155,1.83975743951,kështu
156,2.36314031432,bërë
157,2.42085669823,re
158,2.27178283646,la
159,2.12649452665,eshte
160,2.35107514097,mes
161,2.34832521154,kantonit
162,2.0337353457,vonë
163,2.82952831907,vend
164,2.33128157299,mënyrë
165,2.41426322324,shqipëri
166,2.23495741996,ju
167,2.90595307262,px
168,1.91241879583,ashtu
169,1.93932496586,pak
170,2.64945123258,f
171,1.97479220228,align
172,1.77995124493,as
173,2.3729931256,francë
174,3.18162253454,fshat
175,2.77179472819,}}}
176,2.32077521083,zyrtare
177,2.90129701091,kryetari
178,1.98250564805,for
179,1.73596192752,këtij
180,2.15043083713,luftës
181,2.75209299675,vendosur
182,2.36321208053,pasur
183,1.80682349594,sepse
184,2.02683375766,kishin
185,2.20282405243,vitet
186,2.05989673817,mos
187,2.03203365195,shkak
188,2.36300627888,tre
189,2.44723671248,bashkuara
190,1.99118362781,fund
191,2.27365606447,cilët
192,2.18706771146,bë
193,1.89791402856,ri
194,1.81590047209,ndaj
195,2.53928321938,marrë
196,2.36341483711,tjerë
197,2.08516563174,viteve
198,2.61950108663,harta
199,2.62990489007,qytetit
200,2.44298356509,mëdha
201,1.84090107912,ti
202,2.63436384403,mbreti
