Unnamed: 0,estimated-concreteness,word
0,2.17183339284,</s>
1,2.28546768943,.
2,2.27269039251,","
3,2.33792423135,-
4,2.3315001632,}
5,2.57129305416,дар
6,2.57886422187,'
7,2.82702489191,шакли
8,2.6626957853,)
9,2.6068179783,(
10,2.50849942124,гурӯҳ
11,2.76870024155,аз
12,3.08028874016,забони
13,3.1018298435,харитаи
14,3.01284689564,ноҳия
15,2.83670495268,сайт
16,2.78164561099,минтақа
17,3.18631566102,ноҳияи
18,2.62166149243,ва
19,3.21578338734,маҳаллаҳои
20,2.9979093853,коди
21,2.78543663895,n
22,3.00666352254,деҳа
23,2.42479294688,add
24,2.71702139586,ҳаҷми
25,2.57653195666,ҷомеа
26,3.27478816807,шинохтани
27,2.53664946851,ки
28,2.55577264668,ба
29,3.46478674287,аҳолинишини
30,3.05388191345,вилояти
31,2.66497207475,дорад
32,3.10866967299,ҷадвал
33,2.79158353905,—
34,3.46948822653,почта
35,2.50185720902,давлат
36,2.62881123924,соли
37,2.29529075021,гурӯҳҳои
38,3.23669236786,ададӣ
39,2.71388793199,аст
40,3.0998834433,рӯи
41,2.33990205763,r
42,2.48759525293,h
43,3.00407339047,метр
44,3.01739399858,русия
45,2.57921030754,қарор
46,2.78648267281,тул
47,1.70667043627,the
48,3.68367376686,алифбо
49,2.61810586477,ин
50,2.60892909594,мешавад
51,2.91242885254,яке
52,2.4028893853,+
53,2.53719965333,мебошад
54,3.6266297533,аҳолинишин
55,2.56489365436,ҳайати
56,2.12153676255,тавзеҳ
57,2.75958755651,дохил
58,2.32009693731,org
59,1.62053169206,of
60,2.68156917675,geonames
61,2.9171084198,вилоят
62,2.86032210987,маркази
63,2.48447156916,замони
64,2.60280327621,таъсис
65,3.05033132834,федератсияи
66,3.66590230248,нишонаи
67,2.35558305284,аввал
68,3.19180878469,русӣ
69,2.52537225412,миллӣ
70,2.56561667,бо
71,2.52167908185,ҳисоб
72,2.63331407884,вақти
73,3.06577258658,унвон
74,2.70400541274,баландии
75,2.39083095136,расмӣ
76,2.2049521023,тақсимоти
77,2.55490188959,динӣ
78,2.5118896661,дохилӣ
79,2.73953911168,номҳои
80,2.62788184574,lon_dir
81,2.55629916324,lon_deg
82,2.39471959054,lon_min
83,2.41362532489,lon_sec
84,2.95949738148,lat_sec
85,2.27842332127,commons
86,2.91166619955,lat_min
87,2.71397437755,роҳбарӣ
88,3.36803316514,нишонаҳои
89,2.468355922,минтақавӣ
90,3.30899777094,русҳо
91,3.19412400673,телефон
92,2.97605452101,пешина
93,3.49380637269,ма
94,3.05083551092,автомобилӣ
95,2.96926884942,харитаҳо
96,2.6898768301,e}}
97,3.29198282274,шинохтан
98,2.42775636216,ёдоварии
99,2.59603374078,насрониён
100,2.92444851055,пинҳони
101,2.5380238192,тоҷикистон
102,1.89447422614,and
103,2.76759063421,фут
104,2.93249474239,фурудгоҳи
105,2.4720717264,он
106,2.65474024955,як
107,2.3271254346,july
108,2.33209907204,retrieved
109,2.81415055442,вологда
110,2.81585482818,феҳристи
111,2.56669587774,}}
112,2.82425863165,шумора
113,2.75581827748,сатҳ
114,2.27977524401,вобаста
115,2.24851054292,ҷусторҳои
116,2.18254580899,data
117,2.82580050519,бонди
118,2.37372446473,}}}
119,2.87903203942,сатҳи
120,2.5938260799,ҳавогардҳо
121,2.6887003306,фурудгоҳҳои
122,2.3826425619,–
123,1.97511119728,label
124,2.84342796377,шудааст
125,2.64313403574,кишвари
126,1.8123986096,metric
127,2.7632513444,амрико
128,2.74239449129,иёлоти
129,2.91955641771,муттаҳидаи
130,2.38530371395,бар
131,1.83309686528,to
132,2.65691932107,сол
133,1.98987246477,a
134,1.61676944029,in
135,2.47241195962,aircraft
136,2.11521197759,information
137,2.59374958218,airport
138,2.76434183303,асфалт
139,1.85086077579,world
140,2.3254162479,database
141,3.4839932969,иванов
142,3.27726844944,алифбо‎
143,2.73321940267,aeronautical
144,2.88014657128,фурудгоҳ
145,3.07953426556,фурудгоҳҳо
146,2.66529674962,иото
147,2.63638502456,икао
148,2.55257095816,умумӣ
149,3.0289689257,воқеъ
150,2.62291232852,и
151,1.87733146401,for
152,2.87595459772,ҳамагона
153,2.55694284165,иттилоот
154,2.40660942221,rwy
155,2.69421941198,титр
156,2.90870108441,иртифоъ
157,2.70551645307,барои
158,2.34074949166,svg
159,1.77131887266,is
160,3.10893060835,баҳр
161,1.96062070571,if
162,2.81849364622,номи
163,2.63876956879,фуруди
164,1.98944587989,or
165,2.45395102866,тӯли
166,2.50754251899,асоси
167,2.46731128158,то
168,2.76572931898,}}}}
169,2.52799680582,style
170,2.81815754025,в
171,2.68727319592,с
172,2.70265490503,м
173,2.01681045954,s
174,2.95165095352,канада
175,2.17440790194,/
176,2.65192117572,иртифоъи
177,2.47560008326,#
178,2.7486145459,ҷумҳурии
179,3.49257509799,дарё
180,2.23194117327,flag
181,2.80864704638,шаҳри
182,2.74185582239,ноҳияҳои
183,1.7964808794,template
184,2.49199878835,шуд
185,2.4935568724,""""
186,2.81386901479,воронеж
187,3.02150909243,муқеъият
188,2.5223447234,буд
189,1.91376194965,text
190,3.08679186613,архангелск
191,2.19222466135,local
192,2.97322990621,иркутск
193,1.84936923721,this
194,1.91062841794,with
195,2.36393114006,нахустин
196,2.44451285919,тоҷик
197,2.90184253293,брянск
198,2.288565994,ҳам
199,2.72809517203,иотои
200,2.22199842426,align
201,3.08179257929,владимир
202,1.75000002738,be
203,1.98078639934,name
204,2.53806068272,сохтаи
205,2.47928914504,ҳавогарди
206,2.46656193711,ӯ
207,3.20731795963,кишвар
208,2.63402977259,ё
209,2.34020365682,худро
210,2.30437387987,ҳавогард
211,1.92224492634,then
212,2.68806972746,карда
213,2.52275455218,мекунад
214,2.9552410354,давлатӣ
215,2.66703863417,шӯрои
216,2.8034928194,мақолоти
217,2.6818740698,а
