Unnamed: 0,estimated-concreteness,word
0,2.0504170027,</s>
1,1.83445755431,زمرہ
2,2.35871082906,کے
3,2.27202344118,میں
4,2.08627348113,-
5,2.21884287729,کی
6,2.0909691243,","
7,2.49774857867,)
8,2.41645165794,'
9,2.45745388193,(
10,2.34051152353,اور
11,2.39092659412,.
12,2.20189743864,کا
13,2.08952818308,ہے۔
14,2.25014636269,سے
15,2.00990091439,#رجوع_مکرر
16,1.94269519742,بلحاظ
17,2.19389082448,اس
18,2.05483327892,پر
19,2.52968143002,ایک
20,2.20883442592,ہے
21,2.53765396431,ء
22,2.07989811118,}
23,2.22219488866,کو
24,2.91508972553,شہر
25,2.09742167539,جات
26,2.19214999407,جو
27,2.28581450064,واقع
28,2.21666047193,نے
29,2.11342067676,حوالہ
30,2.55264512551,ملک
31,2.32049247565,فہرست
32,2.44538308142,مزید
33,2.17927318006,دیکھیے
34,2.48967439265,متحدہ
35,1.99958720549,subdivision_type
36,2.43172752561,و
37,2.22501826944,یہ
38,2.02765183978,of
39,2.17382769515,کہ
40,2.32826149658,#
41,1.63195525003,subdivision_name
42,2.87071332184,ریاستہائے
43,2.18330634105,بھی
44,2.84030702965,امریکہ
45,2.29922243168,آبادی
46,2.71675962987,سال
47,2.25518575643,ان
48,2.48616664223,پاکستان
49,2.63669906719,کاؤنٹی،
50,2.0186309235,مجموعی
51,2.02743767696,county
52,2.51486610906,افراد
53,2.34187961156,کر
54,1.90417210867,مشتمل
55,2.34186886611,ہیں۔
56,2.45164082472,یا
57,2.32410459725,ہیں
58,2.44746932182,،
59,2.34942827567,ہے،
60,2.58252239163,علاقہ
61,1.77314629865,the
62,2.87567033781,ضلع
63,2.08005937654,کیا
64,2.40544161244,محمد
65,2.25000952836,۔
66,2.33042686224,+
67,1.57746524581,e
68,2.23504762372,وقت
69,2.63793765054,}}
70,2.19405967636,وہ
71,2.48115874496,>
72,2.56485220517,انگریزی
73,3.15137921598,صوبہ
74,2.24536141033,صدی
75,1.99232912217,نہیں
76,2.15399305139,جاتا
77,2.23964747344,بعد
78,2.60211141059,صارف
79,2.76787976186,مربع
80,2.80368886204,شخصیات
81,2.6384312247,رقبہ
82,2.50047379304,blank
83,2.62457173988,بھارت
84,2.29016885112,بدرخواست
85,2.4822669518,کیلومیٹر
86,2.27749171084,جس
87,2.44334052162,سطح
88,2.62978714332,لاطینی
89,2.11517000083,ہو
90,2.29316304961,تو
91,2.3438009068,ایران
92,2.3171666272,timezone
93,2.19011244133,نام
94,2.71032748287,میٹر
95,2.34867330095,بلندی
96,2.52835764466,آپ
97,2.12805014192,district
98,2.22529698086,utc_offset
99,2.49626327474,رہائشی
100,2.23442900746,لیے
101,2.33644629886,بن
102,2.30093483393,in
103,2.49066349791,شعیب
104,2.35977389145,قومیت
105,1.89743641665,n
106,3.24404346461,ریلوے
107,2.54493984366,دہائی
108,2.11171342829,تک
109,2.76671405734,سینٹ
110,2.28975342529,سانچہ
111,2.1707218623,ہی
112,2.18547914427,کرنے
113,2.70290270014,ریاست
114,2.17001241759,تھا
115,2.43275352297,سو
116,2.90864168768,کاؤنٹی
117,2.1534947782,اپنے
118,2.26796794571,/
119,1.79655451897,and
120,2.63668221585,ٹاؤن
121,1.48734619949,longew
122,1.7721416966,latns
123,2.34300176599,ساتھ
124,3.36818546002,اسٹیشن
125,2.53178255976,اردو
126,2.33004163185,تاریخ
127,2.24838392026,گیا
128,2.5063797113,jpg
129,2.53993110881,دو
130,2.1837603767,فرانس
131,3.01502730215,امریکی
132,2.32984475006,آباد
133,2.04682000916,}}}
134,2.3924703607,اللہ
135,2.45198852674,تقسیم
136,2.23299456987,!
137,2.16628048711,ہوتا
138,2.03644186966,زیادہ
139,1.85051875662,latd
140,1.37065692957,longd
141,1.9999800234,–
142,2.56151624837,زبان
143,2.17684521015,تھا۔
144,2.56520097021,بھارتی
145,2.79942974839,جنوبی
146,2.3544939569,قرآن
147,1.63752713859,longm
148,1.47297966281,latm
149,1.85621396645,s
150,2.01994838739,طور
151,2.01425250289,نہ
152,2.38355627255,ہونے
153,1.68078525673,_info
154,2.66090626573,ممالک
155,2.28781475326,_title
156,2.03921548287,a
157,2.48034643456,voivodeship
158,2.44482039414,موجود
159,1.76979257124,lats
160,1.09946905023,longs
161,2.9472140525,دریا
162,2.43122034489,فرانسیسی
163,2.46986004923,والے
164,2.31388220939,اسے
165,2.3258466688,کسی
166,2.45913998344,population_density_km
167,2.78877603793,مقامات
168,2.37121192263,تھے
