Unnamed: 0,estimated-concreteness,word
0,1.96747479037,</s>
1,2.47872345555,.
2,2.36588222586,","
3,2.22744317925,-
4,2.89505233579,)
5,2.83140288326,xaritasi
6,2.76066545736,(
7,2.78123388482,tuman
8,2.80014654926,turi
9,2.41557324161,'
10,2.87216586027,mintaqa
11,2.4408616621,va
12,2.37016857516,jadvalda
13,2.9487450072,oʻlchami
14,2.59948363979,kodi
15,2.51385307663,jamoat
16,2.82885030147,mamlakat
17,2.44666544572,tarkib
18,2.76365843682,pochta
19,2.48021860981,identifikator
20,2.66625434659,–
21,2.38536883618,—
22,2.55182116195,balandligi
23,2.80241288968,km
24,2.20198531758,yil
25,2.69191892722,joylashgan
26,2.6448945179,aholi
27,2.20632552657,rasmiy
28,2.47721616613,sayt
29,2.46849564959,county
30,2.45297009498,nafar
31,2.95184574194,rahbar
32,2.26720583802,n
33,1.93157642885,milliy
34,2.41386915682,bor
35,2.64922215668,balandlik
36,3.08584121033,markazi
37,2.01622259963,ichki
38,2.40975588911,asos
39,2.14695723281,ilk
40,2.58648465678,avvalgi
41,2.05670437943,vaqt
42,3.17687798436,til
43,3.71050377747,avtomobil
44,3.02462427585,tili
45,3.12848537918,solingan
46,2.06357766258,kiradi
47,3.52380107871,telefon
48,2.50313944353,turkumi
49,2.67674653094,maydoni
50,2.36831826989,mintaqasi
51,2.36013246551,nomlari
52,2.55576052536,indeksi
53,1.89994234391,beri
54,2.13146582314,tarkibiga
55,2.53277981011,raqamli
56,3.17311172159,ap
57,2.26339073336,sanalgan
58,1.98138519562,commons
59,1.99735542304,konfessiyaviy
60,2.46471413255,indekslari
61,2.097368677,qachondan
62,2.39447496502,eslatilishi
63,2.57497021603,bolinishi
64,1.93882224243,lat_dir
65,2.12903502186,lon_dir
66,1.98912168014,lat_deg
67,2.25913588632,lon_deg
68,2.2010688963,lat_min
69,2.35080133614,lon_min
70,2.36181593801,lon_sec
71,2.17733615577,lat_sec
72,2.09742189023,qiladi
73,2.95542130029,dengiz
74,2.67963903826,sathidan
75,2.41895691859,dst
76,2.09088616995,+
77,2.65054392219,istiqomat
78,1.93055442636,#
79,2.99077679137,maydon
80,2.24886372197,bilan
81,3.34243445535,ngc
82,2.37808247669,e
83,2.25443711819,m
84,2.91007376316,kishi
85,2.71063105747,fransiya
86,2.55398379073,de
87,2.18242988187,arrondissement
88,2.5379694255,kommunadir
89,2.55572524991,yangi
90,2.02328638525,har
91,1.59132751006,qaram
92,2.58703186232,umumiy
93,2.61362273984,tumani
94,2.7952038583,omborida
95,2.31642167827,mintaqasida
96,3.10633211645,ic
97,2.90950783532,asl
98,2.7089498025,zichlik
99,2.28944845168,a
100,3.81696740544,katalog
101,3.83985768772,nashrida
102,2.41908310044,zichligi
103,2.66385752348,kvadrat
104,2.83628980677,kilometrga
105,2.24962097658,bir
106,3.06230490072,shahar
107,2.74331550466,w
108,3.17107010735,}
109,3.21397724297,provinsiya
110,2.25095709156,ham
111,2.38501662329,uchun
112,2.42159762825,http
113,2.26513310708,y
114,2.52301290675,da
115,2.93959294037,suv
116,2.07304512604,//www
117,2.13418619452,esa
118,2.89192736094,balandlikda
119,2.59156790873,t
120,2.72617506162,okrugi
121,2.21180990939,boʻlgan
122,2.08733767329,gerb
123,2.4822465169,fransiyaning
124,2.91168294476,hokim
125,1.99494985371,departamenti
126,2.67485160478,tumanlariarrondissement
127,2.15931552738,departamentlaridepartament
128,2.79892165402,inseeinsee
129,1.8609683672,bu
130,2.62562095564,sayti
131,2.48753755792,ning
132,3.17026970665,kommuna
133,2.42961807455,yoki
134,2.70174549499,aqsh
135,2.30229513107,boshqa
136,2.44501672084,shahardir
137,2.43692638079,s
138,2.148751132,i
139,2.6418009041,federal
140,2.25518520857,b
141,3.02950824281,toshkent
142,2.70032888609,aqshning
143,1.91499420486,shundan
144,2.16231400575,yilda
145,2.22587422887,ushbu
146,2.80329897324,shtatida
147,3.03137514912,information
148,2.48061117485,processing
149,2.9286132171,standardfips
150,2.44826277917,oʻrtacha
151,2.18332370218,haqida
152,2.49079723053,qayta
153,2.56495946622,""""
154,2.41050964922,d
155,2.02886843226,birinchi
156,2.17139134349,quruqlik
157,2.0864118216,u
158,2.41418546177,k
159,2.36302368252,identifikatsiyasi
160,2.35669645523,dan
161,2.47004467014,ga
162,2.79231129751,departament
163,2.82883833838,aholisi
164,2.37628385979,mavjud
165,3.45353996425,yulduz
166,2.53941648455,maʼmuriy
167,2.42886919965,yerida
168,2.27818132574,boʻlib
169,1.80895078842,svg
170,2.59133392906,oʻzbekiston
171,2.55772518709,uning
172,1.9571549584,etgan
173,2.89827957652,provinsiyasi
174,2.70067912329,maʼlumot
175,2.48487271102,maydonidir
176,2.29015522718,oʻz
177,3.24709770034,ombori
178,2.82474848351,birlik
179,2.60493392575,o
180,2.77961276907,turkumidagi
181,3.09106012757,tekshirilgan
182,3.05543312843,nasa
183,2.57125262463,tipli
184,2.59380114984,database
185,2.72783052785,obyektlari
186,3.62778694808,simbad
187,2.85128612396,ngc/ic
188,3.3497847111,vizier
189,3.01216390487,extragalactic
190,2.09997610279,quyi
191,2.10287785006,olmoniyaning
192,3.10623324287,raqamirasmiy
193,2.30365307607,tashkil
194,2.32866032059,ispaniya
195,2.22505195412,q
196,2.16471189987,katta
197,2.49491807071,g
198,2.48230115457,eng
199,1.56594357767,deb
200,2.19942181157,boʻladi
201,3.00986735955,ming
202,2.37233598638,rhône
203,2.5228684531,davlat
204,2.28668467209,la
205,2.9005044992,yer
206,2.86772615142,okrug
207,3.4058686641,jild
208,2.79498717247,galaktikadir
209,3.34788715173,it
210,2.28096376332,shu
211,2.07897333203,v
212,2.36919159847,asosiy
213,2.76364650076,oʻzme
214,2.23178634024,yildan
215,2.3403613448,%
216,3.12605380306,}}
217,2.60662228783,p
218,2.02414116233,png
219,2.56592323938,ishlab
220,2.42777098225,hamda
221,2.74478843887,et
222,2.97733172804,saint
223,2.16371415878,ta
224,2.49606358752,oʻrta
225,1.96402109256,mumkin
226,2.37311280579,ni
227,2.34840534971, —
228,1.96488739727,turli
229,3.06204426281,viloyati
230,2.22651726595,alpes
231,2.09909147252,koʻp
232,2.74261646197,f
233,2.22184243577,#yoʻnaltirish
234,2.01291016114,wappen
235,2.52066983078,hosil
236,2.27763951374,asosan
237,2.25671839343,iborat
238,2.14666512877,ega
239,2.32670114825,yirik
240,2.43358309893,r
241,2.97755512195,qishloq
242,3.28314859907,italiyaning
243,1.85111468578,olib
244,1.92586071078,kabi
245,2.41536430413,istat
246,2.35850048134,shuningdek
247,2.05245868248,yuqori
248,2.46700242099,boshqalar
249,2.05642536698,sifatida
250,2.43488141757,saksoniya
251,2.42318050036,kashf
252,3.04516333092,centre
253,2.06184134764,tomonidan
254,2.52819086065,shim
255,3.62201953384,obyekt
256,2.80049256119,xalq
257,2.53714560466,jan
258,2.88191187635,oʻzbek
259,1.61532728056,ilmiy
260,2.16255870082,the
261,2.6812617537,lar
262,2.63415994968,sh
263,1.33586807356,de/
264,2.25683037646,lotaringiya
265,2.54345923259,new
266,3.2137419552,pennsylvania
267,2.53427686851,boʻyicha
268,2.92307179967,akvitaniya
269,2.74833335869,pfalz
270,2.68572756216,l
271,2.83558821214,pikardiya
272,3.19178239496,burgomistr
273,2.50021344123,x
274,2.69709651448,rheinland
275,2.29139539361,of
276,2.11628397507,ular
277,2.22361126117,keng
278,2.28950597397,etilgan
279,2.50640732022,respublikasi
280,3.02738210387,obyektni
281,2.16902931629,qilish
282,2.4037747841,asr
283,2.53097327106,h
284,2.29697572033,qilgan
285,2.52000015594,avstriya
286,2.69037261685,qismi
287,2.5349059232,°
288,2.32463839268,bavariya
289,2.63392967037,burgundiya
290,2.31472507757,biri
291,3.16106215797,bosh
292,1.95005612803,sur
293,2.59460442999,ikki
294,2.47782829071,etnoxronim
295,2.14023848548,ularning
296,2.46447535969,nomi
297,2.54651807025,gacha
298,2.24576262376,le
299,2.08573228309,qarshi
300,2.29841037392,mas
301,2.60837542865,ispaniyaning
302,1.92264076781,shimoliy
303,2.29550650409,normandiya
304,2.78021431191,mer
305,1.93178185876,orqali
306,2.80964307982,style
307,2.9628028829,mil
308,2.33165046452,comté
309,2.65070909935,franche
310,2.66216088512,tumanlarituman
311,2.66906935133,loire
312,2.83149178996,j
313,2.50731598719,provinsiyalariprovinsiya
314,2.14298969309,yillarda
315,2.39439311566,qilingan
316,2.11065084566,muhim
317,2.60202339654,xalqaro
318,2.50450858339,ch
319,2.32924869211,paydo
320,2.07840086141,yaqin
321,2.13321536702,barcha
322,2.34689596634,vafot
323,2.29296418402,qilib
324,2.65567011257,munisipalitetdir
325,2.96817955208,av
326,2.88202395225,en
327,2.54632417268,osiyo
328,2.2173176802,#yonaltirish
329,2.93742411597,al
330,2.61001047132,birligi
331,2.20929736402,koʻra
332,2.35128704738,hozirgi
333,1.92234307296,xil
334,2.18865049955,hisoblanadi
335,2.68168590801,/
336,3.18311508713,}}}
337,2.25446059498,oʻzbekistonda
338,3.0920139536,gaz
339,2.25410303694,olish
340,3.05596707252,lombardia
341,2.31923427644,boshqarish
342,2.01220682366,oʻzini
343,2.43046436353,border
344,2.88356303099,florida
345,2.23507779277,necha
346,2.40263622348,blason
347,1.87636544232,edi
348,2.41950093473,boʻldi
349,1.69960212691,kelib
350,2.86684341853,galaktika
351,2.08875881464,moselle
352,2.38782602948,saône
353,2.62145837863,sharqiy
354,2.90245628963,px
355,2.82047136182,rus
356,2.14794546182,olgan
357,2.38620871045,markaziy
358,1.73797473316,keyin
359,2.51288514606,ayrim
360,2.16104179377,xizmat
361,2.68240654803,maxsus
362,2.23036706267,or
363,2.53609336229,to
364,2.05410135575,yili
365,2.46965221666,kichik
366,1.93864160879,boʻlishi
367,2.68774405346,harbiy
368,2.57370057697,yillik
369,2.3402314274,jahon
370,2.04626056441,asosida
371,3.47158958983,del
372,3.41606669846,aisne
373,2.9884839481,viloyat
374,2.12301561097,natijasida
375,2.99805457316,elektr
376,1.86910075219,etadi
377,2.63231936603,tarqalgan
378,2.30116390803,davrida
379,3.36801834289,togʻ
380,2.00949956587,uni
381,2.21588344303,uchraydi
382,2.92966211385,comune
383,2.52086192271,gʻarbiy
384,1.76087514117,juda
385,2.89872881285,somme
386,1.95627373127,bogʻliq
387,3.00385002099,mansub
388,1.99885248009,ijtimoiy
389,2.1681075617,beradi
390,2.30016970963,haute
391,2.75752750538,missouri
392,2.83490010664,auvergne
393,1.87309283611,xos
394,2.29720692837,oliy
395,2.41499805764,qad
396,2.78819969893,jpg
397,2.04144169613,bretan
398,2.66179768459,schleswig
399,2.35011717924,tarkibida
400,2.46910967629,kelgan
401,2.58829635405,ibn
402,2.96821743963,andoza
403,3.51406929296,castilla
404,3.56883682699,león
405,3.4566094778,san
406,2.43152829337,olingan
407,2.2576762765,yaxshi
408,1.95940373862,maʼlum
409,2.26460497255,baden
410,3.08537256611,buxoro
411,2.00081962908,keladi
412,3.25499973328,qirgʻiziston
413,3.11851867258,washington
414,2.70410707619,xoʻjaligi
415,2.70980881241,okruglariokrug
416,2.35322453841,goals
417,2.04395324693,soʻng
418,2.33368642959,yana
419,2.47279257861,parametrlari
420,3.11855646892,uz
421,2.02555747002,iqtisodiy
422,2.87764401539,it/
423,2.94579558636,kodirasmiy
424,3.07387109208,piemont
425,2.65907957629,align
426,2.74470202541,oise
427,2.97670954206,herschel
428,2.15380593784,ortiq
429,2.30534527687,badiiy
430,2.48694543811,mln
431,2.05708504356,oid
432,2.41524212635,turadi
433,2.32411359176,in
434,2.50630754588,arab
435,2.6367727677,holstein
436,2.41193823335,jumladan
437,2.32186885211,at
438,2.81109220147,qabul
439,2.32207274023,amalga
440,2.47445183297,lot
441,2.62495146022,muhammad
442,3.47119096238,temir
443,2.02448688208,württemberg
444,1.60064285504,tabiiy
445,2.22014136714,marta
446,2.50418898522,sanoat
447,2.29068004765,texas
448,2.78928306741,musiqa
449,2.59309653188,and
450,2.61410391021,oladi
451,2.67236547214,vujudga
452,2.55016512141,topgan
453,3.2766744126,sm
454,3.39550853202,mm
455,2.39732304755,ish
456,2.88806390781,shahri
457,2.96035490164,yoʻl
458,2.5975334175,unga
459,2.41536494219,!
460,2.370952393,?
461,2.37565136071,chiqarish
462,2.45798143656,kimyoviy
463,2.12776443815,keyinchalik
464,2.98973501981,anhalt
465,2.7394116407,davri
466,2.25062458515,yevropa
467,2.35086774581,rivojlangan
468,2.21696627477,qilinadi
469,1.67249675441,holda
470,1.92986687814,faqat
